Incident Number,incident Title,Incident Classificatioin,Date of Incident,Time of Incident,Date of Report,Site,Area,Unit,Detail,Work Group,Description,Incident Type A,Incident Type B,Incident Type C,Incident Type D,Investigation leader - Name,Investigation leader - Position,Incident Classified by - Name,Incident Classified by - Position,Investigation Acceptor/Approver (Owner) - Name,Investigation Acceptor/Approver (Owner)- Position,Approval Date,Close out Approval - Name,Close out Approval - Position,Close out Date,What happened?  ,What was the outcome?,Incident Classification,What was the worst outcome that could reasonably be expected to have happened?,Health & Safety Incident - Classification,Health & Safety - Risk Score,Health & Safety  - Consequence,Health & Safety - Likelihood,Environment & Reputation - Incident Classification,Environment & Reputation - Risk Score,Environment & Reputation  - Consequence,Environment & Reputation - Likelihood,Financial Cost & Business - Incident Classification,Financial Cost & Business Interruption - Risk Score,Financial Cost & Business Interruption  - Consequence,Financial Cost & Business Interruption - Likelihood,How did the incident occur
CP-BF2EE5947A,,Incident,2021-01-10,07:30,2021-01-12,GI,76,A,,Production Operations,LIFTING,Loss Event,Environment & Reputation,Loss of Containment,,SYN-e06098,Production Foreman,SYN-58ad3a,Facility Engineer,SYN-a769cb,Maintenance Supervisor,2021-01-18,SYN-41eaca,Production Foreman,2021-02-18,"On 10 January 2021, at 0730 hours, a pipeline pollution event occurred at the Fieldwood
Energy LLC Grand Isle (GI) 76-A, OCS-G 02161 platform. A 3/8” hole developed in the
departing pipeline which discharged an estimated 8.35 barrels of hydrocarbons into the
Gulf of Mexico (GOM). The pipeline subsequently shut-in due to a pressure sensor
measuring pressure below the set point.",Reported as a pollution release.,Incident,,Incident,6,C,2,,,C,,,,,,"SEQUENCE OF EVENTS:
On 10 January 2021, during normal operations, the operators at the GI 76-A platform
experienced a Pressure Safety Low (PSL) trip on the departing 12” pipeline, KAH-101
segment #8217. The pipeline pressure sensor detected the leak, shutting in the
platform. The operators then observed a sheen on the surface of the water. When the
operators observed the sheen, they suspected it could be from the pipeline with the
PSL that tripped.
While investigating the cause of the PSL activation, operators bled down the pipeline
to stop additional pollution. The operators then contacted the Field Foreman located
on Fieldwood Energy’s main structure, GI 47-AQ. The Field Foreman conducted a fly-over
in order to estimate the size of the sheen. The Field Foreman reported the pollution
event to the National Response Center (NRC #1222650) as well as the BSEE New Orleans
District after hours engineer. The sheen measured 6.5 miles long and 1.5 miles wide,
totaling 352.27 gallons (8.35 bbls). The Field Foreman called for a dive boat
contracted to Fieldwood. Upon arrival, the diver identified the leak near a weld
located approximately a quarter-mile from the platform. Fieldwood began monitoring the
sheen hourly from the time of its discovery at 10:50 am on 10 January 2021 until the
sheen had completely dissipated at 3:00 pm on 11 January 2021.
After the diver identified the leak, Fieldwood submitted a pipeline repair plan to the
BSEE Pipeline Section to install a 12” Plidco split-sleeve clamp. BSEE gave approval
for the repair on 13 January 2021. The clamp was installed and leak tested at the
normal operating pressure of 1060 psi for 2 hours while being observed by the diver.
After a successful test, the pipeline was bled down to ambient pressure and buried 3’
below the mudline.
BSEE INVESTIGATION:
On 12 January 2021, BSEE New Orleans District Production Inspectors arrived on
location, gathered information, issued an E100 and G111 Incident of Noncompliance, and
conducted interviews.
The interviews revealed the operators followed Fieldwood Energy’s oil spill procedure.
During the Fieldwood overflight, the latitude and longitude of the leak were matched
to a 12” Right of Way (ROW) pipeline, segment #8217 belonging to Fieldwood Energy.
The investigation revealed this pipeline was originally used for gas sales and
condensate. Fieldwood Energy converted the pipeline to a bulk oil pipeline without
BSEE’s approval, failing to comply with 30 Code of Federal Regulations (CFR) 250.1000
(3) Modification or relinquishment of a pipeline right-of way. This information was
confirmed during a follow up inspection of the platform by BSEE investigators on 16
January 2019.
Investigators also discovered the pipeline pumps’ (PAX-231/232) Maximum Discharge
Pressure (MDP) of 1800 psi was greater than the pipeline’s MAOP of 1203 psi.
Therefore, the pipeline is required by API RP 14C to be protected by a primary and
secondary means of overpressure protection, a Pressure Safety High (PSH) and Pressure
Safety Valve (PSV) respectively.
The pipeline’s primary means of overpressure protection was the PSH set at 1200 psi.
Although this set point is below the MAOP of the pipeline, it is too close to MAOP to
allow for set pressure tolerance. 30 CFR 250.865 states that the PSH must be set
sufficiently below the maximum allowable working pressure of the discharge piping. API
RP 14C Section D.3.2 states the set pressure tolerance for set pressures greater than
5 psi is plus or minus 5 percent; however, the trip pressure should not exceed the
pressure rating of the equipment protected. In summary, the pipeline pumps may have
overpressured the pipeline without activating the PSH due to the MAOP of the pipeline
being within 5 percent of the set point. The improper PSH set point has been
identified as a possible contributing cause to the incident because an overpressure
event may have gone undetected and caused a hole in the pipeline.
The pipelines secondary means of protection was the PSV on the PAX pumps as referenced
on Fieldwood’s Safety Analysis Function Evaluation (SAFE) Chart. However, the pumps’
PSV was set at 1323 psi which does not sufficiently protect the pipeline’s MAOP at
1203 psi. Therefore, the pipelines did not have proper secondary overpressure
protection. The improper PSV set point on the pipeline pumps has also been identified
as a possible contributing cause.
CONCLUSION:
The investigation concluded that Fieldwood properly followed oil spill reporting
procedures. However, Fieldwood failed to set the PSH on the pipeline properly, failed
to set the PSV on the pipeline pumps properly, and lastly failed to obtain approval
from BSEE Pipeline Section before converting the pipeline from gas sales to bulk oil."
CP-D5270111A8,,,2021-01-29,06:45,2021-01-31,MP,296,C,,Production Operations,LIFTING,Loss Event,Health & Safety,,,SYN-3bc182,Production Foreman,SYN-c123af,Production Foreman,SYN-86cbdb,HSE Advisor,2021-02-06,SYN-d4017a,Facility Engineer,2021-03-06,"On January 29, 2021, an injury occurred at Main Pass (MP) 296 C, Lease OCS-G 01673,
operated by GOM Shelf LLC, during a vessel cleaning operation. An Acadian Contractors
Construction crew was removing studs on the manway for a Surge Tank when a wrench
struck the contractor in the mouth. GOM Shelf medically evacuated the Injured Person
(IP) to shore, where he received stitches and treatment for a cracked tooth. On
January 30, 2021, the physician released the IP to return to regular full duty.",The incident resulted in an injury recorded as Other Injury. The facility was evacuated.,,,,,,,,,,,,,,,"SEQUENCE OF EVENTS:
At 6:00 am on January 29, 2021, platform personnel held a pre-job safety meeting and a
JSA prior to beginning the task of preparing vessels for internal steam cleaning and
pressure washing. Personnel began removing the 20 studs on the manway opening for the
ABJ-1400 Oil Run Surge Tank. The task required two (2) personnel. At 6:45 am, the crew
was on the second to last stud when the (secondary) backup wrench came off and struck
the rigger in the mouth, busting his lip and cracking his tooth.
GOM Shelf immediately evacuated the IP to Gulf Regional Medical Center in Abbeville,
Louisiana where the medical staff administered medical treatment (4 stitches to lower
lip) and a tooth replacement procedure. The physician released the IP to return to
full duty on January 30, 2021. However, he did not return to MP 296 C, but was
reassigned to Acadian’s on-land shop.
There was a safety stand down to discuss the incident with all personnel. The Bureau
of Safety and Environmental Enforcement (BSEE) received notification of the incident,
and GOM Shelf later submitted the incident into eWell. The scheduled vessel cleaning
operation restarted and was completed without further incident. An operator
representative ordered a newly designed tool for securing the nut and stud; however,
the tool did not arrive until after the task was completed.
BSEE INVESTIGATION:
On February 5, 2021, the BSEE Investigator arrived on location. The BSEE Investigator
requested and reviewed all JSA’s, P&ID’s, LOTO’s, and permits for confined space entry
and hot work. BSEE interviewed the relief Ultimate Work Authority (UWA) person and the
job foreman. Investigators took photos of the incident location (Oil Run Surge Tank)
as well as the other vessels listed as cleaned. Prior to going on location, the
Investigator contacted the GOM Shelf Safety Coordinator and requested and received all
incident reports and available documents concerning the injury.
The investigation found that the overall work scope included the removal and
replacement of five (5) manway covers and several bolted access covers. The
construction team removed and replaced over 150 studs and nuts using the traditional
hand-held hammers and hammer wrenches. However, several studs were accessible with the
use of a pneumatic impact wrench.
GOM Shelf identified an alternative tool, a Hammer Tight Slugging Wrench Retainer,
which allows personnel to tighten and loosen studs using a hammer wrench with no
second person involved. GOM Shelf ordered and received the new tool after the tasks
were completed, and will be using it on a trial basis.
Conclusion:
During the BSEE investigation, it was determined that the contractor did not have the
(secondary) backup hammer wrench adequately secured or held in positon as not to allow
it to slip or bounce off once impacted with the hammer. The crew did not use Best
Available Safety Technology (BAST).
BSEE Recommendations:
No recommendations."
CP-9E1D15576D,,,2021-02-14,14:45,2021-02-15,,,A(MAD DOG SPAR),,Construction,LIFTING DEVICE,,,,,SYN-0f9aca,Maintenance Supervisor,SYN-12c89a,Production Foreman,SYN-381495,Operations Superintendent,2021-03-03,SYN-741bca,Facility Engineer,2021-03-07,"On 14 February 2021, BP Exploration and Production Inc's Mad Dog spar had a pollution
event resulting in approximately 50 barrels going into the water of the moon pool
center well. While pulling a sample off of the disposal (sump) caisson, a production
operator observed a strong hydrocarbon odor in the area. He entered the well bay,
looked into the center well and observed crude oil on the surface of the center well.
Appropriate regulatory agencies were notified and all hot work was ceased. BP removed
all oil from the center well caisson and began regular monitoring of the center well.
Temperature Safety Elements (TSE) were lowered just above the fluid level, and
personnel trained in the use of the foam system protecting the center well also began
monitoring the area regularly. The Mad Dog personnel also conducted a full platform
drill with the scenario of a fire in the center well.
BP's investigation determined that a faulty check valve allowed oil to enter the
caisson. This valve was repaired and double isolated with manual block valves that
are locked closed. The check valve remains isolated until the piping is re-designed
and re-routed to prevent another occurrence.",,,,,,,,,,,,,,,,
CP-FD6D0CBC38,,Serious Incident,2021-02-17,09:26,2021-02-19,EI,259,C,,Drilling,LIFTING DEVICE,Loss Event,,,,,,SYN-972da8,Marine Coordinator,,,,,,,"On the morning of February 17, 2021 at approximately 0926 hours, the crane operator at
Nexen Eugene Island 259 C platform was attempting to lift a gang box from the M/V
Grant (field boat). The load was to be placed on the top deck of the production
platform. During the lifting process, while the load was suspended over the water,
the crane operator heard a loud pop and then felt the boom jerk. He immediately
noticed the boom and load falling to the water, but missed the field boat located
adjacent to the platform. The crane heel boom section remained attached to the crane
pedestal while hanging over the side of the production platform, with the boom tip
submerged in the water. Three (3) third party contractors on the platform were
standing on top of the compressor building taking measurements to fabricate
handrailing, when they were struck by small fragments from the boom cable when it
parted. Their injuries were limited to small pieces of wire being embedded in their
skin, covering shoulder and neck areas on their upper body.",Reported as a crane incident.,Serious Incident,,Serious Incident,20,D,5,,,,,,,,,
CP-4B15C3DC3B,,,2021-03-23,22:15,2021-03-27,AC,857,,T.O. DEEPWATER THALASSA,Maintenance,LIFTING,Loss Event,Health & Safety,Injury Minor,,SYN-cda7ee,Marine Coordinator,SYN-93dfd2,Operations Superintendent,SYN-3e658f,Marine Coordinator,2021-03-31,SYN-03e2b2,Production Foreman,2021-04-26,"On 29-MAR-2021, approximately 1630 hours, a Subsea Engineer onboard the Transocean
Drillship Thalassa, was utilizing a tagline to help guide a load down to the deck in
the Subsea POD shop. While pulling on the tagline, the Injured Person(IP) heard a
pop and felt pain in the right knee.
A verbal risk assessment prompt card was done by personnel involved in the job task
prior to the crane lowering the load.
The Subsea Engineer pulled to hard on the tagline while attempting to guide the load
which caused him to injure himself.",The incident resulted in restricted work or job transfer for more than 3 days. The facility was evacuated.,,,,,,,,,,,,,,,
CP-783EC00CCA,,Very Serious Incident,2021-03-30,02:20,2021-04-01,GC,282,,NOBLE DON TAYLOR,Production Operations,LIFTING hydraulic running tool,Loss Event,Business Interruption & Cost,Equipment Damage,,,,SYN-72d48d,Maintenance Supervisor,,,,,,,"On March 30, 2021, an incident occurred on board the drillship, Noble Don Taylor
while under contract for Talos Energy Resource Technology (ERT) LLC. The Noble Don
Taylor was located at Green Canyon Block 282 OCS - G -16727 at the time of the
incident. A single 35,000 pound slick riser joint fell across the rig floor after it
was hoisted into the air using a hydraulic riser running tool which was suspended from
the top drive. There were no injuries reported, but an employee in the area was
nearly struck by the dropped riser joint.
The morning of Wednesday March 30, 2021, at approximately 0220 hours, the “A” drill
crew was in the process of picking up and running riser joints to latch the 18.75 inch
subsea Blow out Preventers (BOP’s) to the SS003 well. Prior to commencing work, the
“A” drill crew which consisted of 2 Drillers, 2 Assistant Drillers, 7 Floorhands and 1
Subsea Engineer held a pre job safety meeting. A Work Instruction Manual (WIM) report
was generated with all the necessary personnel, permits, tools, equipment and Job
Safety Analysis (JSA’s). All documents were reviewed and signed by the crew. Work
commenced using the hydraulic Riser Running Tool (RRT), and the first slick riser
joint was latched onto with the primary hydraulic lock and secondary manual lock
engaged, verified by a designated drill crew member. The designated crew member, a
Floorhand, communicated to the Driller via a thumbs up that both locks were engaged
and ready to be lifted. The 75 foot long slick riser joint was placed vertically in
the spider gimbal and connected to the riser system. The drill crew retrieved the
second slick riser joint from the riser cart with the RRT following the same
procedure, but a different crew member, a Subsea Engineer, engaged the manual lock on
the RRT and confirmed to the Driller via a thumbs up that both locks were engaged.
After receiving the thumbs up confirmation, the Driller hoisted the second 75 foot
long slick riser joint into the air approximately 74 feet before the RRT came free and
the riser joint fell across the drill floor, striking the gimbal and crushing the
drops shed. There was a crew member located near the drops shed, but he saw the RRT
slip out of the riser and he ran in a safe direction.
The Bureau of Safety and Environmental Enforcement (BSEE) investigation team conducted
the initial onsite investigation on March 30, 2021. The team took photographs,
interviewed personnel and collected statements. The investigation team learned the
Floorhand that had made the first function was the designated person to close the
manual lock of the RRT. When the RRT was stabbed into the second riser joint, he was
placing a water hose in the choke and kill lines. While doing this, he saw the Subsea
Engineer manipulating the secondary manual lock on the RRT. He asked another crew
member if the Subsea Engineer locked the RRT, and he replied yes and gave him a thumbs
up. The Floorhand then moved near the auxiliary side drops shed while the riser joint
was being moved. The Subsea Engineer stated that he was on the rig floor checking the
seals in the riser, and he asked another Floorhand if he was going to lock the RRT,
and he responded with, “You got it.” The Subsea Engineer then positioned himself to
function the manual lock on the RRT, slid the secondary lock, and made sure the pin
was seated to keep it from sliding. He gave the thumbs up to the Driller and he
proceeded to pick up the riser joint. Once the joint was near vertical, the RRT
slipped out of the riser joint and fell to the rig floor. The Floorhand that had
positioned himself near the auxiliary drops shed saw the RRT slip out of the riser
joint, and ran in the opposite direction. Moments after he cleared the area, the
riser joint impacted the drops shed and crushed it beyond repair. The Rig Manager
instructed the rig to not lower the RRT until he was on the rig floor, and he stated
that when the RRT was lowered, he observed the manual lock was not engaged.
The primary lock on the RRT is hydraulically operated from the Drillers chair. The
tool is seated in the joint of riser, and the Driller pushes a button to engage the
lock. Locking dogs extend into the grooves inside the joint of riser, and if seated
properly indicator pins will drop and allow the secondary manual lock to be
functioned. To function the manual lock, the operator must pull a “T-Handle” up and
rotate the manual lock ring 10 degrees. The “T-Handle is then released and it engages
into a hole on the tool. By rotating the “T-Handle,” the pins are isolated via a
metal plate and this prevents the primary lock from being allowed to open. If the RRT
is not properly seated in the riser, the primary lock can still be engaged even though
the dogs are not engaged in the grooves of the riser. If the dogs are not engaged in
the grooves of the riser, the RRT will not have an effective hold on the riser, and
the secondary manual lock cannot be engaged. The inability to function the secondary
manual lock would be a sign that the RRT is not properly seated in the riser and not
safe to lift. In the RRT’s manual under the “Manual Lock-Out” section, it states:
“Ensure the running tool is locked properly to the riser joint before picking up.
Failure to heed this warning may cause serious injury or death to personnel.”
Based on the design of the RRT and the interviews of personnel, the investigation team
identified the primary cause of this incident to be that the RRT was not properly
seated in the riser and the secondary manual lock was not engaged. The Subsea
Engineer stated that he engaged the manual lock, but when the RRT was lowered to the
rig floor, it was found in the open position. The secondary manual lock could not
have opened on its own, indicating that it was never actually locked. And if it was
never actually locked, the primary lock was probably not properly engaged. If the
primary locking dogs were not extended within the riser’s internal grooves, the RRT
could not support the weight of the riser.
Since the incident, Noble has revised the WIM for running riser and BOP’s so that
there will be a designated person to engage the secondary manual lock on the RRT and
added a secondary verifier. The JSA has also been revised to include that the second
verifier and the indicator rods on the RRT are painted red and green for greater
visibility for secondary latch verification. Also, revisions have been submitted to
management for review on Noble’s personnel zone management procedures for the drill
floor area.","There were no injuries reported, but an employee in the area was nearly struck by the dropped riser joint.",Very Serious Incident,,Very Serious Incident,25,E,5,,,,,,,C,,
CP-3B79FD9E11,,Serious Incident,2021-04-17,10:00,2021-04-19,EW,910,A,,Maintenance,LIFTING DEVICEAir Tugger,Loss Event,,,,SYN-7be90f,Facility Engineer,SYN-a0b3ee,Operations Superintendent,SYN-81ae96,Maintenance Supervisor,2021-04-22,SYN-b12842,Maintenance Supervisor,2021-06-15,"The crew was attempting to remove a storm damaged MCC building from the platform to a
crew boat using four 10K Tuggers and two 4K tuggers. There was no structural support
on top of the building to install cable guides and the lifting eyes were on the
bottom of the building. The 4 ¿ 10 K tuggers were rigged to each corner and the 2 ¿ 4
K tuggers were for backup and to control the movement. Snatch blocks were rigged
overhead and over the water to lower the building in a straight descent to the boat.
The plan was to skid the building off the side of the platform and lower to the boat.
The building was being skidded off the platform. As the center of the building
crossed the last beam of the deck, the building became top heavy and rolled over
(bottoms up) and it struck a scaffolding set on the next deck down knocking the
scaffolding ¿peg¿ boards overboard. One of the corner 10K air tugger cables parted
from the shock loading of the roll. Once the building was stabilized, the supervisor
lowered the building to the crew boat securely","Reported as a lifting-device incident. Estimated property damage $5,000.",Serious Incident,,Serious Incident,20,D,5,,,,,,,A,,
CP-E8CD75BF8D,,,2021-04-18,18:30,2021-04-23,,73,A,,Production Operations,LIFTING DEVICE,Loss Event,Health & Safety,Injury Minor,,SYN-3e5dac,Maintenance Supervisor,SYN-36f22f,Maintenance Supervisor,SYN-6e3bcd,Production Foreman,2021-04-28,SYN-d7393a,Marine Coordinator,2021-08-12,"On April 18, 2021, at approximately 18:30, on Energy XXI GOM's, OCS-G 02947, Main
Pass (MP) 73 A Platform, a Crane Mechanic received a puncture wound to his right shin
when he slipped on oil and water residue and struck his right shin on the corner of
the skid, as a result of a weather related slip hazard. Injured Person (IP) was sent
in for treatment and was put on restricted work duty for 1 week.",The incident resulted in restricted work or job transfer for more than 3 days. The facility was evacuated.,,,,,,,,,,,,,,,"Sequence of Events:
The Crane Mechanic was working on changing boom cylinders on the crane boom. Oil and
water were in the crane power skid and high winds blew oil and water from the skid
onto the deck of the crane mount. The Crane Mechanic was climbing back onto the skid
and slipped on the residue, striking his right shin on the corner of the skid. He was
flown in for treatment and put on restricted duty for 1-2 weeks.
Follow-up: IP was seen and treated for a puncture wound to the right shin, was
prescribed antibiotics, no stitches and put on restricted duty for one week."
CP-FC86518082,,Very Serious Incident,2021-05-17,01:00,2021-05-18,MC,109,A-Amberjack,,Drilling,LIFTING,Loss Event,,,Combustion,SYN-bda861,Marine Coordinator,SYN-4ac38b,Maintenance Supervisor,SYN-f2ae20,Production Foreman,2021-05-30,SYN-d9d167,Facility Engineer,2021-08-20,"An explosion occurred on 17 May 2021, at 0115 on the Mississippi Canyon (MC) 109
A (Amberjack) Platform, Lease OCS-G 5825, operated by Talos Petroleum LLC (Talos). The
explosion originated from a 12 Volt (V) battery located inside a Remote Terminal Unit
(RTU) Panel. The force of the explosion blew the panel door off the enclosure. Debris
from the explosion landed 45 feet away. The explosion did not cause damage to nearby
equipment. No injuries or pollution occurred.",No injuries or pollution occurred.,Very Serious Incident,,Very Serious Incident,25,E,5,,,,,,,A,,"Sequence of Events:
At 0115 on 17 May 2021, night operators, who had just made their rounds, heard a
boom and felt the platform shake. They investigated the explosion and found the RTU
Panel to be the source. The Night Operators chose not to activate the Emergency Shut
Down (ESD), shut in production, or muster. Personnel searched but could not identify a
gas source. They woke up and notified the Person In Charge (PIC). The PIC investigated
the incident the next morning.
At 0800, MC 109 A shut in due to an unrelated high pipeline pressure.
At 0820, Talos verbally notified BSEE of the incident.
BSEE INVESTIGATION
BSEE Inspectors arrived onsite 17 May 2021 at 0925 to begin the investigation.
The investigators found that American Midstream, a gas sales contractor, installed and
operated the RTU Panel. American Midstream personnel arrived on location at 1000 to
begin their investigation with Talos personnel.
The inspectors performed a walkthrough and photographed the damage outside and inside
the RTU Panel. Investigators interviewed personnel and took statements. Inspectors
requested and reviewed documents and drawings. The inspectors noted the panel was
located in a Class 1 Division 2 area according to the Area Classification Layout.
Talos’ investigation indicated on 14 April 2021, the platform electrician attempted
to find out why the American Midstream RTU Panel did not have power. The electrician
discovered the 110V electrical input to the panel disconnected in the communications
room next to the Motor Control Center (MCC) room. This caused the depletion of the two
12V Odyssey PC925 non-spillable drycell batteries within the panel. The electrician
could not fully recharge the batteries after several hours. He then replaced two 12V
Odyssey batteries with one 12V ACDELCO Voyager II Marine/RV Battery. Although the
electrician stated that he adjusted the charging voltage to 12V, the battery showed
signs of cracking/splitting from overcharging. Talos’ investigation report also
revealed eliminating one battery resulted in directing the 24V charge into the one 12V
battery causing a hazardous overcharge. The overcharged battery released excess
hydrogen inside the non-vented panel creating an explosive environment. BSEE
inspectors noted that the electrical components inside the panel were not listed by a
Nationally Recognized Testing Laboratory (NRTL) for use in a Class 1 Division 2
hazardous area.
BSEE Investigators found that the operators did not have knowledge of the battery’s
ability to vent hydrogen within the panel. However, API RP 14F (incorporated by
reference in 30 CFR 250.198) states, “All rechargeable type batteries release hydrogen
to the atmosphere in varying degrees.” API RP 14F continues, “All rechargeable battery
systems should be installed such that hydrogen cannot collect in sufficient quantity
to create a hazard.”
The installation of rechargeable batteries inside a non-vented panel creates a Class 1
Division 1 location inside of the panel according to API RP 500. However, the
components inside the panel were not rated for a Class 1 Division 1 area. Even if the
panel was vented, Talos installed the panel in a Class 1 Division 2 area. However, the
components inside were not rated for a Class 1 Division 2 area.
The BSEE investigation determined that the event was not a rupture as initially
reported by Talos, but an explosion."
CP-1D33D4C3C1,,Incident,2021-05-31,22:15,2021-06-01,MC,762,,NOBLE BULLY I,Production Operations,LIFTING DEVICE,Loss Event,Environment & Reputation,Loss of Containment,,,,SYN-7e36ce,Facility Engineer,,,,,,,"-
On 31-MAY-2021 at 2215 hours, the primary sealing element for the riser slip joint
failed due to a loss of air pressure. As a result 20.8 barrels of 12.8 pound per
gallon synthetic based mud (SBM) was spilled into the moon pool.
The operation at the time of the incident was fluffing cement tanks in preparation
for a cement squeeze job. During this operation the rig service air, not able to keep
up with the air demand, dropped to about 40 psi allowing the sealing element in the
slip joint to relax. While engine control room personnel were responding to the low
rig air alarm, it was noticed that the slip joint was leaking SBM into the moon pool.
Once all air compressors were online and full rig air was restored, the sealing
element engaged stopping the leak.",Reported as a pollution release.,Incident,,Incident,6,C,2,,,C,,,,,,
