Incident Number,incident Title,Incident Classificatioin,Date of Incident,Time of Incident,Date of Report,Site,Area,Unit,Detail,Work Group,Description,Incident Type A,Incident Type B,Incident Type C,Incident Type D,Investigation leader - Name,Investigation leader - Position,Incident Classified by - Name,Incident Classified by - Position,Investigation Acceptor/Approver (Owner) - Name,Investigation Acceptor/Approver (Owner)- Position,Approval Date,Close out Approval - Name,Close out Approval - Position,Close out Date,What happened?  ,What was the outcome?,Incident Classification,What was the worst outcome that could reasonably be expected to have happened?,Health & Safety Incident - Classification,Health & Safety - Risk Score,Health & Safety  - Consequence,Health & Safety - Likelihood,Environment & Reputation - Incident Classification,Environment & Reputation - Risk Score,Environment & Reputation  - Consequence,Environment & Reputation - Likelihood,Financial Cost & Business - Incident Classification,Financial Cost & Business Interruption - Risk Score,Financial Cost & Business Interruption  - Consequence,Financial Cost & Business Interruption - Likelihood,How did the incident occur
NS-C42558E3D5,,Very Serious Incident,2021-01-24,18:00,2021-01-29,GC,254,A(ALLEGHENY SEA,,Drilling,LIFTING,Loss Event,Business Interruption & Cost,Equipment Damage,Combustion,SYN-5d8a8c,Operations Superintendent,SYN-adb241,Production Foreman,SYN-b23516,Marine Coordinator,2021-02-01,SYN-8e0d06,Facility Engineer,2021-05-14,"At approximately 1800 hours on January 24, 2021, an explosion occurred on OCS-G 7049,
Green Canyon 254 - A facility (Allegheny Sea). The operator of record is Eni US
Operating Co. Inc. (Eni).The facility is located 86 miles from shore in 3294 feet of
water.
According to Operator investigation findings, after the mechanic replaced the
carburetor on the temporary rental Booster Compressor engine CAE-5140A, it ran
unloaded for approximately eight minutes to make carburetor adjustments. The idle
speed was set to 800 rpm in preparation for testing during the pre-startup phase when
an explosion occurred inside Cooler HAL-4160B. The explosion caused separation of the
cooler end caps with small sections of piping striking the Glycol Contactor base, main
deck south guardrail and ESD (Emergency Shutdown) station #7. Although damage to the
ESD station shut in the facility, the compressor engine remained running and the
mechanic had to manually shut it down after the emergency stop button failed to
function. Personnel also closed off the engine starter air supply and fuel gas supply
thereafter. All personnel mustered as a result of the ESD signal alarm and accounted
for without injury.
BSEE Inspectors arrived at the platform on January 27, 2021 to begin the
investigation. BSEE took pictures and witness statements as well as a survey of the
damages at the site of the incident.
Based on the information obtained during the","Reported as an explosion and damage over $25,000. Personnel were mustered.",Very Serious Incident,,Very Serious Incident,25,E,5,,,,,,,,,
NS-B125B85E7E,,,2021-01-25,03:50,2021-01-28,,,A,,Production Operations,LIFTING DEVICE,,,,,SYN-4f8b49,Operations Superintendent,SYN-49140d,HSE Advisor,SYN-f5ca63,Facility Engineer,2021-02-15,SYN-24762f,Maintenance Supervisor,2021-03-06,"From approximately 0800 to 0835 hours,( ) Operator A and ( )
Mechanic B performed preventative maintenance on the #2 engine portion of the #2
generator. At approximately 0836 hours, both men attempted to activate the generator
from the switch gear/control panel in the Master Control Center (MCC) immediately
adjacent to the generator room. Once the engine came up to speed (20-30 sec), a loud
electrical pop was heard coming from the generator room. Mechanic B opened the
door, saw smoke and fire coming from within the #2 generator's dust cover/end guard
and announced ""fire, fire"". Both men exited the MCC on the south door going outside
and activated the Emergency Shut Down (ESD) #9. Operator A then picked up the 30#
purple K Amorex fire extinguisher from the west handrail, immediately west of the
generator room, entered the west entrance and extinguished the fire through the end
cover's bottom grating. At approximately 1000 hours, following a review of the
incident, the #1 generator was placed on line and normal platform operations resumed.",,,,,,,,,,,,,,B,,
NS-4710EE8790,,,2021-02-06,17:45,2021-02-08,GC,896,,ENSCO 8503,Maintenance,LIFTING DEVICE,Near Hit,,,,SYN-b014e1,Operations Superintendent,SYN-65644d,Production Foreman,SYN-42ba08,Facility Engineer,2021-02-25,SYN-f3b7b2,Production Foreman,2021-04-01,"-
On February 6, 2021, a Floorman working on the Ensco 8503 drilling rig was struck on his
upper right side by a stand of drill pipe while the crew was attempting to relocate
it. On the day of the accident, the Ensco 8503 drilling rig was working for Cobalt
International Energy located at Green Canyon Block 896.
The accident occurred while the drill crew was using a teflon rabbit to drift 5 7/8
inch drill pipe. Drifting is a process of running a ""rabbit"" through a stand of
drill pipe to ensure that the pipe is clear of any obstructions before running it
into the wellbore. The Derrickman, who was operating the bridge racker at the time,
retrieved a stand of drill pipe from row 13 of the racking system and brought the
stand out to the finger board. The Derrickman then guided the bridge racker to a pre-
determined area towards the well's center in an attempt to get it into the ""rabbit
position"" where the crew would have access to drift the pipe. While the stand was
being transported to the rabbit position, it came in contact with the lower belly
board latch on row 12 which caused the stand to become stuck and begin to bow. The
Derrickman working the bridge racker did not notice that the stand of drill pipe was
hung up and continued trying to move it from the controls. The injured person (IP),
a Floorman who had been in his position for twelve months, had just numbered a stand
of pipe in the setback area. After he finished, the IP began to make his way towards
the hydraulic slip control when he noticed that the drill pipe was hung up. The IP
immediately turned toward the driller's cabin and began to try to get the
Derrickman's attention. At this time, the drill pipe became dislodged from the lower
guide arm head on the bridge racker allowing the pipe to swing and strike the IP in
the upper right side of his back.
All operations were stopped and the Rig Medic reported to the rig floor to evaluate
the IP. Supervisors were notified and IP was brought to the rigs sick bay for
further examination. IP started developing more pain and swelling over his right
clavicle area and it was noted that was a 1 1/2 inch abrasion on his right hip. Rig
Medic consulted with onshore Physician and was ordered to administer medicine for
pain and swelling. At approximately 18:51 hours, the IP was evacuated from the
vessel in route to Terrebonne General Hospital in Houma. After further evaluation,
it was found that the IP suffered from a slight concussion and a fracture to his
right clavicle. IP had surgery on August 1st, 2013 and is expected to make a full
recovery.",The facility was evacuated.,,,,,,,,,,,,,,,
NS-28D57F30B3,,,2021-02-21,03:30,2021-02-24,WD,73,­ D,NABORS 17,Well Services,LIFTING DEVICE -,Loss Event,Business Interruption & Cost,Equipment Damage,,SYN-b9a265,Production Foreman,SYN-1532fb,Operations Superintendent,SYN-155dca,HSE Advisor,2021-04-01,SYN-e1505e,HSE Advisor,2021-04-10,"-
On 21 February 2021 at 0300 hours, an incident occurred that resulted in equipment
damage at the West Delta 73 on the Nabors 17 rig under contract with Energy XXI GOM,
LLC. The operation at the time of the incident involved the drilling crew who were
conducting BOP testing.
The crew began testing BOP's around 1500 hours on 20 February 2021 using a 7-5/8""
Greens cup tester. The test required 4"" and 5"" drill pipe to be tested to a high
pressure of 5000 psi. The crew completed nine (9) successful tests to 5000 psi with
the 4"" drill pipe and then removed the 4"" testing assembly. After making up the 5""
test assembly, testing began with the lower pipe rams (2-7/8"" x 5"" Variable Bore Rams
(VBRs). At 4800 psi, the test assembly was forced up the hole stopping when the tool
joint struck the lower pipe rams. The force of the assembly slamming into the top
drive caused the traveling block and the top drive to shoot up approximately 20'. As
the top drive came back down, the following equipment was damaged: test assembly, top
drive electrical panel, top drive gear box and sealing elements in the lower pipe
rams. The use of the cup tester and possible associated hazards were not included in
the Job Safety Analysis (JSA). The",No one was injured as a result of this incident.,,,,,D,,,,,,,,C,,
NS-9563B7C1CA,,,2021-02-28,22:50,2021-03-06,WD,40,A,,Production Operations,LIFTING DEVICE,Loss Event,Health & Safety,Injury Minor,,SYN-461598,Marine Coordinator,SYN-fc0798,HSE Advisor,SYN-6cd93c,Maintenance Supervisor,2021-03-27,SYN-d1e88d,Production Foreman,2021-04-27,"On February 28, 2021, at 2250 hours, at Apache Corporation's Lease OCS-G 01072, West Delta
(WD) Block 40, Platform A, an employee injured his finger during construction
operations. The Injured Person (IP) was evacuated for medical assistance where he
received stitches and was assigned to restricted duty.",The incident resulted in restricted work or job transfer for more than 3 days. The facility was evacuated.,,,,,,,,,,,,,,,"Sequence of Events:
A work crew was in the process of derigging a snatch block which was chained to an I-
Beam on the platform when an employee was injured. The chain which supported the
block was fastened to the grating. The wiring attached to the snatch block was still
under tension from the tugger located on the lower deck. Due to this tension the IP
needed the other crew member on the lower deck to loosen the wire so that he could
de-rig the tuggers. The crew member tested the tugger to see which way the line
tugger was going. When this was done he tightened the wiring and snatch block
assembly, instead of giving it slack, pinching the IP's finger between the chain and
grating. The IP was taken in for medical assistance
was assigned to restricted duty."
NS-DBA06F51F9,,Incident,2021-04-25,07:30,2021-04-28,SM,27,,,Production Operations,LIFTING DEVICE,Loss Event,Environment & Reputation,Loss of Containment,,SYN-9a8260,Marine Coordinator,SYN-284649,Maintenance Supervisor,SYN-15ffe9,HSE Advisor,2021-05-08,SYN-c256bc,HSE Advisor,2021-05-24,"On April 23, 2021, a sheen was initially reported in the vicinity of South Marsh
Island Area Block 27. The source was identified as Pipeline Segment Number (PSN) 3334
and the responsible party was identified as Sea Robin Pipeline Company. By 0615 on
December 8, the leak had been secured and active sheening had stopped, although some
bubbling continued. The spill volume was reported to be 15 bbls (from district office
calculation based on National Response Center (NRC) reported sheen size and
coverage). The operator reported PSN 3334 had suffered a leak at the bottom of the
line at a water depth of 93 feet.
An inspector with the Lafayette District Office, overflew the leak site on December 8
at 0812 and reported no visual evidence of a sheen or bubbling.
The operator reported on December 9, following inspection by divers, that the hole in
the pipeline was located at the 6 o'clock position and was 1/2"" by 3/4"" in size.
Ultrasonic Testing (UT) was conducted on the pipeline 18 inches out on either side of
the hole but there were no signs of wall loss to indicate corrosion was present in
the pipeline. Cathodic Protection (CP) readings were taken and discovered to be
normal. Divers did not observe the prescence of drag marks or any other sign of third
party damage.
UPDATE: On October 15, 2021, an Engineer with Energy Transfer reported the final
estimated spill volume was 0.7 barrels of condensate and that the leak was secured
(pipeline shut-in and blown down to bottom pressure) on April 25, 2021 at 15:30. On
May 2, 2021 at 21:30, pipeline repairs were completed and the pipeline was
restarted.",The operator reported PSN 3334 had suffered a leak at the bottom of the line at a water depth of 93 feet.,Incident,,Incident,6,C,2,,,C,,,,,,
NS-A495397DCE,,Very Serious Incident,2021-04-26,19:30,2021-04-28,MC,29,,DIAMOND OCEAN,Production Operations,LIFTING DEVICE,Loss Event,Health & Safety,Injury Minor,,SYN-1f3064,Maintenance Supervisor,SYN-0ffd13,Production Foreman,SYN-863412,Facility Engineer,2021-05-16,SYN-c1360c,HSE Advisor,2021-06-04,"At 1930 hours, the injured person was flagging the crane operator in the removal of
the shunt line from the moon pool, The IP's left hand
and was struck by the headache ball of the crane.",The incident resulted in restricted work or job transfer for 1-3 days. Reported as a crane incident. The facility was evacuated.,Very Serious Incident,,Very Serious Incident,25,E,5,,,,,,,,,
NS-8497899769,,Incident,2021-05-02,05:40,2021-05-04,MP,44,KC,,Drilling,LIFTING DEVICE,Loss Event,Business Interruption & Cost,Equipment Damage,,SYN-81b6c5,Operations Superintendent,SYN-08f3bc,Maintenance Supervisor,SYN-9d778b,HSE Advisor,2021-06-07,SYN-c55ce0,Operations Superintendent,2021-06-04,"On May 2, 2021, at approximately 05:40 hours, the Motor Vessel (MV) The Lady
Marie collided with Chevron U.S.A. Inc's, Lease OCS-G 03338, Main Pass (MP) Block 44-
KC Platform. The accident was reported by the Motor Vessel (MV) Terry Bordelon to
the Venice Shorebase and the U.S. Coast Guard. There was no report of pollution.","Reported as a collision with damage over $25,000.",Incident,,Incident,4,D,1,,,,,,,,,"Sequence of Events:
The MV, The Lady Marie, a 160 foot crew boat, was passing through the MP 44 area and
struck Chevron U.S.A. Inc's, Lease OCS-G 03338, Main Pass (MP) Block 44-KC Platform
at approximately 0540 hours on May 2, 2021. The Venice Shorebase received a
radio call from the M/V Terry Bordelon reporting the collision and stated that the
vessel was wedged in the structure. At the time of this call, the M/V Terry Bordelon
had already contacted the U.S. Coast Guard and was instructed to stand-by until the
U.S. Coast Guard arrived on location. At that point there was no report of pollution
but a hissing noise could be heard.
First Update: The U.S. Coast Guard responded to the incident.
Second Update: No pollution was from the incident. The M/V Terry Bordelon did report
that there were some injuries on the M/V Lady Marie and that the U.S. Coast Guard was
on the scene treating the injured. The Platform was reported by the crew of the M/V
Terry Bordelon to have been well lighted when they arrived on the scene of the
accident. Visibility was clear. Winds 15 to 20 Southeast. Seas 2 to 3 feet with
occasional ground swells of 4 to 5 feet.
Third Update: The number of people reported on the M/V Lady Marie is nine (9).
Chevron received reports that 3 injured people were taken off of M/V Lady Marie via
U.S. Coast Guard Helicopter. Chevron does
Lady Marie was not contracted for Chevron
not being released to Chevron."
NS-E9FFCBE6B5,,Incident,2021-07-01,06:00,2021-07-03,SS,229,A,,Production Operations,LIFTING DEVICE,Loss Event,Environment & Reputation,Loss of Containment,,SYN-8fcadf,Facility Engineer,SYN-22ede8,Facility Engineer,SYN-810f83,HSE Advisor,2021-07-18,SYN-9a07c9,HSE Advisor,2021-08-28,"At 0600 hours on 1 July 2021, the facility operator, Ankor Energy LLC (Ankor), began
experiencing a production system upset that resulted in pollution of the Gulf of
Mexico waters. 16 barrels of oil was observed being discharged from the Floatation
Cell's (ABM 1000) overboard water discharge line. Ankor operators immediately shut
the overboard water valve on ABM 1000 and started recirculating the overboard fluid
back into the production system. A third party investigation determined that the
Fisher 1051 Actuator on Heater Treater (NBK 1000) produced water dump line was not
operating correctly. This caused oil to be discharged through the 4 inch produced
water dump line to ABM 1000. At the time of the incident, the platform was not
operating normally. Maintenance was being performed on departing pipeline KAH 4000
and the platform was only producing 400 barrels of oil and 670 barrels of water per
day (normal operations are 1,945 barrels of oil and 1,754 barrels of water per day).
With the platform operating below normal parameters, the field operators isolated all
inlet and outlet valves on ABM 1000 to perform preventive maintenance. Once the
preventive maintenance was completed, field operators filled the vessel with salt
water to prepare it for normal operation. With all isolation valves and safety
devices placed in service, the field operators shut down operations for the evening.
At some point during the evening, the produced water dump valve on NBK 1000 failed in
the open position sending oil to ABM 1000. ABM 1000 could not handle the volumes
being sent and discharged oil out of the produced water dump line into the Gulf of
Mexico. A third party investigation found two contributing causes of the pollution
incident. The first being poor installation and system design of the KTEK Level
Controller to the Fisher 1051 actuator. The second cause involves poor operating
practices. The equipment was not monitored throughout the startup process.
Furthermore, poorcommunication was exercised in reference to the design.",Reported as a pollution release.,Incident,,Incident,6,C,2,,,C,,,,,,
NS-656F70413F,,Incident,2021-07-04,05:05,2021-07-07,GB,958,,ROWAN RELIANCE,Drilling,LIFTING DEVICE,Loss Event,Environment & Reputation,Loss of Containment,,SYN-b50573,Operations Superintendent,SYN-90bd0a,Maintenance Supervisor,SYN-0a73ee,Maintenance Supervisor,2021-07-20,SYN-87d392,Production Foreman,2021-08-12,"-
Background: -
On 4 July 2021, the Rowan Reliance (Reliance) drill ship under contract to Cobalt
International Energy, L.P. (Cobalt) reported a discharge of approximately 2200
barrels (bbl) of 15.3 pounds per gallon (ppg) synthetic oil base mud (SOBM) during
well operations on Well 002 (North Platte #2) at the surface location in Garden Banks -
(GB) Block 958 (bottom hole location in GB Block 959). Cobalt notified the National
Response Center (NRC Report #1111516) and reported to Bureau of Safety and
Environmental Enforcement (BSEE) the estimated 2200 bbl of SOBM into offshore waters. -
Chronological Order of Events: -
On 15 and 30 May 2021, Rowan ran the blowout preventer (BOP) #2 and riser on the -
North Platte #2 well at the subsurface location of GB-959 using Rowan procedure RMS-
WCG-013. -
From 25 through 10 June 2021, Rowan conducted first on-bottom pressure and
function testing of BOP#2 and ancillary BOP equipment while attached to the North
Platte #2 well. -
On 19 June 2021, the remote operated vehicle (ROV) discovered an accumulation of
SOBM-like material on the first riser joint (Joint #64) and the flex joint
termination spool but was dismissed as drill cuttings that was being discharged
overboard. Numerous ROV dives after 19 June 2021 continued to observe the
accumulation of SOBM-like material on the first riser joint and termination spool;
however, according to information reported to BSEE during monthly rig inspections,
Cobalt continued to assume that the SOBM-like material was drill cuttings. -
On 1 July 2021, a gas and water kick was encountered at the measured depth of
20,631 feet (ft) and it was circulated out with 15.3 ppg SOBM. Late on 22 March
2015, a loss of SOBM was observed on the active system; therefore, the ROV was
deployed to investigate. At approximately 0020 hour (hr) on 4 July 2021, the ROV
observed SOBM discharging from the flange connecting the flex joint termination spool -
and the first riser joint (Joint #64). The upper annular was closed and drilling
activities were suspended. -
On 4 July 2021, Rowan notified the NRC and BSEE of the estimated 2200 bbl SOBM
spill that consisted of Rheo-Logic synthetic base drilling fluid -
comprised of 48 percent (%) synthetic base oil, 32% solids and 20% water. Of the estimated
volume of 2200 bbl SOBM lost, 1557 bbl were lost to the open water and the remaining 643 bbl
were lost in the open hole. -
On 17 July 2021 at 1010 hr, BSEE arrived at the Reliance drill ship to conduct an
investigation into the cause of the SOBM spill. BSEE conducted photographic
documentation and gathered relevant photographs for the investigation.
Rowan reported to BSEE that BOP#2 was unlatched at 0330 hr and preparations were
underway to pull it to the surface. Cobalt informed BSEE that Northwest Technical
Solutions (NWTS) was hired to conduct an incident investigation on its behalf that
concentrated on the identifying the probable causes. At approximately 1740 hr, Rowan -
began laying down riser joints and recording torque values as the riser bolts were
removed using a Torq-Lite RT-40 hydraulic wrench. On 18 July 2021, Rowan continued
pulling the BOP#2 to the surface and recording the torque values as the bolts were
removed from the riser joints. -
On 19 July 2021 at 0338 hr, the first riser joint (Joint #64) and flex joint
termination spool broke the surface in the Reliance's moon pool area. At 0728 hr on
19 July 2021, the connection flange between the flex joint termination spool and the
first riser joint (Joint #64) was separated and it was discovered that no Seal Sub
(Mud Pin) was installed. -
On 1 August 2021, NWTS submitted their final report to Cobalt on the investigation of -
the Rowan Reliance Riser Column Mud Loss. The NWTS investigation
concluded that the ultimate root cause of the SOBM spill incident was due to the lack
of the installation of a Seal Sub (Mud Pin) in between the flex joint termination
spool and first riser joint (Joint #64). In addition, the report stated that the low
torque values recorded when breaking the riser bolts may have contributed to the
incident.
On 29 November 2021, BSEE received Rowan's final investigation report entitled ""Rowan
Reliance Incident Investigation: Major Spill of Synthetic Oil Based Mud (SOBM) from
the Marine Riser - Report of Findings"". In addition, BSEE received the
Cameron Marine Drilling Riser Inspection Report, the Cameron Visual
Inspection Report of Riser Box End and Termination Spool Pin End and the
Cameron cost quotes for repairing the riser joint and termination spool
damaged by the SOBM spill.
BSEE's incident investigation along with the review of Cobalt and Rowan independent
incident reports revealed the primary cause of the incident was attributed to the
failure to install the Seal Sub (Mud Pin) in the flange connection between the flex
joint termination spool and the first riser joint (Joint #64). BSEE visually
verified the absence of the Seal Sub (Mud Pin) during an on-site investigation on 7
April 2015, when the BOP was retrieved to the surface.
In addition, Rowan informed BSEE that when BOP#2 and the riser joints were made up
for deployment, the Torq-Lite RT-40 wrench was set at 1250 pounds per square inch
(psi) which is equivalent to 13,000 foot-pounds (ft-lb). However, according to the
Torq-Lite current operations manual, the torque wrench should have been set to 1600
psi (18,000 ft-lb) as required in the Cameron LoadKing 3.5 Flange Riser and Riser
Connection Operations & Maintenance Manual.
Based on the Cobalt and Rowan independent incident report findings, the possible
contributing causes for the SOBM spill were listed as follows: 1) inadequate Rowan
procedures and checklist for deployment of the BOP and riser; 2) Rowan subsea
personnel did not recognize or had any previous experience that required the Seal Sub
(Mud Pin) to be installed in the ""pin-up"" configuration in the flex joint termination
spool on the Cameron LoadKing riser system; 3) insufficient handover during a crew
change of Rowan Subsea personnel during a critical phase of the BOP and riser
deployment; 4) Cobalt's failure to recognize what was causing the buildup of SOBM
and/or drilling cuttings in the area of the first riser joint and flex joint
termination spool throughout the ROV coverage; 5) the culture of top down command
structure may have led to misinterpretation of what material was being spilled and it
prevented rig personnel for suggesting alternative explanations; and 6) the low
torque valves recorded when breaking riser Joint #64 bolts revealed that the bolts
were under-torqued when it was made up to the flex joint termination spool during
BOP#2 deployment that provided a migration pathway of the SOBM into offshore waters.","Reported as a pollution release. Estimated property damage $151,353.",Incident,,Incident,8,D,2,,,C,,,,C,,
