src_report_type,src_index_page,src_index_year,src_detail_page,src_attachment_index,src_url_published,src_url,src_url_display,src_url_canonicalised,src_filename,src_area,src_block,src_operator,src_date_text,src_date_parsed,src_year,src_is_redacted,src_variant_suffix,src_parse_note,src_index_date_occurred,src_index_time,src_index_lease_number,src_index_area_block,src_index_accident_type,src_index_row_count,src_panel_number,src_panel_title,src_panel_publication_date,src_sha256
district,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports/district-investigation-reports-archive,2006,,0,https://www.bsee.gov/sites/bsee.gov/files/060411-pdf.pdf,https://www.bsee.gov/sites/bsee.gov/files/060411-pdf.pdf,https://www.bsee.gov/sites/bsee.gov/files/060411-pdf.pdf,false,060411-pdf.pdf,,,,060411-pdf,2006-04-11,2006,false,,archive_yymmdd_filename;no_area_block_in_filename,04-11-2006,14:00,G01153,VR/256,Fire - Injury,1,,,,
district,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports/district-investigation-reports-archive,2007,,0,https://www.bsee.gov/sites/bsee.gov/files/070219-pdf.pdf,https://www.bsee.gov/sites/bsee.gov/files/070219-pdf.pdf,https://www.bsee.gov/sites/bsee.gov/files/070219-pdf.pdf,false,070219-pdf.pdf,,,,070219-pdf,2007-02-19,2007,false,,archive_yymmdd_filename;no_area_block_in_filename,02-19-2007,20:20,G15860,GB/244,Required Evacuation - LTA (>3 days) - Other Lifting Device,1,,,,
district,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports/district-investigation-reports-archive,2011,,0,https://www.bsee.gov/sites/bsee.gov/files/110201-pdf.pdf,https://www.bsee.gov/sites/bsee.gov/files/110201-pdf.pdf,https://www.bsee.gov/sites/bsee.gov/files/110201-pdf.pdf,false,110201-pdf.pdf,,,,110201-pdf,2011-02-01,2011,false,,archive_yymmdd_filename;no_area_block_in_filename,02-01-2011,15:00,G02391,HI/A571,Fire - Other,1,,,,
district,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,2017,,0,/sites/bsee.gov/files/2010-report-3oct2017-arena-travel-block.pdf,https://www.bsee.gov/sites/bsee.gov/files/2010-report-3oct2017-arena-travel-block.pdf,https://www.bsee.gov/sites/bsee.gov/files/2010-report-3oct2017-arena-travel-block.pdf,false,2010-report-3oct2017-arena-travel-block.pdf,,,arena travel block,3oct2017,2017-10-03,2017,false,,no_area_block_in_filename,07-20-2017,16:45,G03331,EI 251,Travel Block Incident,1,,,,
district,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,2023,,0,/sites/bsee.gov/files/2023-04/2010%20Arena%20HI%20547%20B%2005.JAN_.2023%20Redacted.pdf,https://www.bsee.gov/sites/bsee.gov/files/2023-04/2010%20Arena%20HI%20547%20B%2005.JAN_.2023%20Redacted.pdf,https://www.bsee.gov/sites/bsee.gov/files/2023-04/2010 Arena HI 547 B 05.JAN_.2023 Redacted.pdf,false,2010 Arena HI 547 B 05.JAN_.2023 Redacted.pdf,HI,547 B,Arena,05.JAN_.2023,2023-01-05,2023,true,,,01-05-2023,1730,G02705,HI A 547,Fire,1,,,,
district,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,2023,,0,/sites/bsee.gov/files/2023-04/2010%20Shell%20AC%20857%2003.JAN_.2023%20Redacted.pdf,https://www.bsee.gov/sites/bsee.gov/files/2023-04/2010%20Shell%20AC%20857%2003.JAN_.2023%20Redacted.pdf,https://www.bsee.gov/sites/bsee.gov/files/2023-04/2010 Shell AC 857 03.JAN_.2023 Redacted.pdf,false,2010 Shell AC 857 03.JAN_.2023 Redacted.pdf,AC,857,Shell,03.JAN_.2023,2023-01-03,2023,true,,,01-03-2023,2217,G17565,AC 857,"Fire, Required Muster, Incident > $25,000",1,,,,
district,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,2022,,0,/sites/bsee.gov/files/2023-04/Cantium%20MP%2042%20D%2008-NOV-22.pdf,https://www.bsee.gov/sites/bsee.gov/files/2023-04/Cantium%20MP%2042%20D%2008-NOV-22.pdf,https://www.bsee.gov/sites/bsee.gov/files/2023-04/Cantium MP 42 D 08-NOV-22.pdf,false,Cantium MP 42 D 08-NOV-22.pdf,MP,42 D,Cantium,08-NOV-22,2022-11-08,2022,false,,,11-8-2022,06:45,G00375,MP 42 D,"Required Evacuation, LTA (>3 days)",1,,,,
district,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,2023,,0,/sites/bsee.gov/files/2023-05/SM%20130%2004Feb23%20Redacted%202010.pdf,https://www.bsee.gov/sites/bsee.gov/files/2023-05/SM%20130%2004Feb23%20Redacted%202010.pdf,https://www.bsee.gov/sites/bsee.gov/files/2023-05/SM 130 04Feb23 Redacted 2010.pdf,false,SM 130 04Feb23 Redacted 2010.pdf,SM,130,,04Feb23,2023-02-04,2023,true,,no_operator_in_filename,02-04-2023,1405,G02280,SM 130,Fire,1,,,,
district,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,2022,,0,/sites/bsee.gov/files/2023-05/SM%20130A_Talos_14-NOV-2022.pdf,https://www.bsee.gov/sites/bsee.gov/files/2023-05/SM%20130A_Talos_14-NOV-2022.pdf,https://www.bsee.gov/sites/bsee.gov/files/2023-05/SM 130A_Talos_14-NOV-2022.pdf,false,SM 130A_Talos_14-NOV-2022.pdf,SM,130A,Talos,14-NOV-2022,2022-11-14,2022,false,,,11-14-2022,0840,G02280,SM 130 A,RW/JT > 3 Days,1,,,,
district,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,2022,,0,/sites/bsee.gov/files/2023-06/GC%20205_Chevron_13-SEP-2022.pdf,https://www.bsee.gov/sites/bsee.gov/files/2023-06/GC%20205_Chevron_13-SEP-2022.pdf,https://www.bsee.gov/sites/bsee.gov/files/2023-06/GC 205_Chevron_13-SEP-2022.pdf,false,GC 205_Chevron_13-SEP-2022.pdf,GC,205,Chevron,13-SEP-2022,2022-09-13,2022,false,,,09-13-2022,1245,G05911,GC 205 A,Crane,1,,,,
