Incident Number,bsee_activity,bsee_type_checkboxes,bsee_operation,bsee_cause_checkboxes,bsee_water_depth,bsee_property_damaged,bsee_possible_ocs_violations,bsee_violations_narrative,bsee_onsite_investigation_date,bsee_accident_classification,bsee_panel_formed,bsee_operator,bsee_form_revision,bsee_extract_status,bsee_source_url,bsee_sha256
GC-478-20240502-1620,X EXPLORATION(POE) DEVELOPMENT/PRODUCTION DECOMMISSIONING,"INJURIES: HISTORIC INJURY OPERATOR REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days) RW/JT (1-3 days) RW/JT (>3 days) FATALITY Other Injury POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE X CRANE OTHER LIFTING C DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K 168,150 H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR",PRODUCTION TEMP ABAND DRILLING PERM ABAND WORKOVER DECOM PIPELINE COMPLETION DECOM FACILITY HELICOPTER SITE CLEARANCE MOTOR VESSEL PIPELINE SEGMENT NO. PACIFIC SHARAV)X OTHER UWILD (DOCD/POD),X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE CONTRACTOR SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,3760 FT.,"Water bag ripped open. Two hydraulic of before the load test. motors and four brake assemblies. $168,150",NO,24. SPECIFY VIOLATIONS DIRECTLY OR INDIRECTLY N/A,,,NO,Murphy Exploration & Production REPRESENTATIVE: TELEPHONE: CONTRACTOR: Company Not Listed REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/2024-12/02-May-2024_GC%20478_Murphy%20EV2010R.pdf,d8336f7b151e84441bd962cf9aa7b55b9efd5bd807d59b6afc388fa6103c45f4
EI-259-20120304-1330,EXPLORATION (POE) ~ DEVELOPMENT/PRODUCTION (DOCD/POD),[] HISTORIC INJURY REQUIRED EVACUATION LTA {1-3 days) X LTA (>3 days 1 RW/JT {1-3 days) RW/JT (>3 days) Other Injury FATALITY ~ P OLLUTION FIRE EXPLOSION LWC ~ H ISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR D D COLLISION 0 HISTORIC >$25K OF MEXICO REGION INVESTIGATION REPORT STRUCTURAL DAMAGE CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/ 15MIN. /20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE REPRESENTATIVE/SUPERVISOR,,,,"None decks and walkways to prevent slips, trips and None $",YES,INC G-132 is issued to document that Nexen Petroleum USA Inc. failed notify the BSEE lafayette District Manager immediately following an incident involving an injury requiring evacuation. The incident occured on 04-March-2012 and was not reported until 9 days following,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO Guillotte /,Nexen Petroleum U.S.A. Inc. REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/reports/03-04-12-nexen-ei-259.pdf,558de850e61651599aaa66fa118a415f12da20ad3507f88d444c15ab872f24c6
UNKEYED-974899945cce,[] EXPLORATION{POE) ~ DEVELOPMENT/PRODUCTION (DOCD/POD),~HISTORIC INJURY X REQUIRED EVACUATION 1 LTA (1-3 days) x LTA (>3 days 1 RW/JT {1-3 days) RW/JT {>3 days) Other Injury FATALITY ~ POLLUTION FIRE EXPLOSION LWC ~ H .ISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR 0 0 0 COLLISION HISTORIC >$25K · STRUCTURAL DAMAGE CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$2SK H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER ELEC ARC FLASH REPRESENTATIVE/SUPERVISOR,x PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER ELECTRICAL,EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID OTHER,190 FT.,NATURE N/A $,YES OF DAMAGE:,01) It was found that there was no isolation permit completed for the isolation of the transformer or for the switch gear in the MCC-1. 02) A hot work permit was filled out for the use of electrical .tools. 03) A JHA was filled out but was not completed. 04) Personnel did not make sure that all personnal were clear of work areas & if work was completed before powering up the 35Kv line. 05) personnel relied on the one line drawings & did not do a job walk to verify the lines that they were working 06) Personnel did not follow 07) Personnel did not follow,05-0CT-2012,MINOR,29. ACCIDENT INVESTIGATION PANEL FORMED: NO I Miller,"DCOR, L.L.C. REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/incident-and-investigations/03-oct-2012-p00240.pdf,974899945ccee32161a3686ab945a165d71e8c20b567bb41198be22bbcf87793
UNKEYED-d34a71a29a8c,EXPLORATION(POE) DEVELOPMENT/PRODUCTION X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION X FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DEVICE Inc. DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING X WORKOVER COMPLETION -88.49525617 HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER X Riser Parted,FT. 6040,"Top drive, riser with associated lines Top drive and BOP/LMRP damaged; riser with (choke, kill, boost, hydraulic, MUX), associated lines and SBM lost. BOP/LMRP, SBM. $8,161,008",YES 22. RECOMMENDATIONS TO PREVENT,E-100 - Pollutant released to the Gulf of Mexico. G-111 - Operator/contractor failed contributing to the riser failure.,,MAJOR,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,BP Exploration & Production REPRESENTATIVE: Anne Renee Laplante TELEPHONE: (713) 685-2011 CONTRACTOR: Transocean Offshore REPRESENTATIVE: Don Hulseberg TELEPHONE: (815) 777-0652,B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/summaries/030521-pdf.pdf,d34a71a29a8cf864f4c8af727bc4249954300d2f0e7c640162aa04dc4851a9fe
LB-6488-20030504-0740,EXPLORATION(POE) (!I (DOCD/POD),OmsTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY 0 ~ POLLUTION FIRE EXPLOSION. LWC ~ H ISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR D COLLISION 0HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$2 5K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Crane Accident REPRESENTATIVE/SUPERVISOR,"X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEI, PIPELINE SEGMENT NO. OTHER",DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID OTHER ~~~--~~~~~~~~~~~~-,700 FT.,"The whole boom and wire ropes had to be Base the boom. This amount is not this report. Clean Coastal Waters and dismantled just in case of boom section was damaged. Walkway replaced. The hook.block was sent in to and handrails were crushed. be refurbished. New walkway and hand rails around crane had to be replaced. $100,000",23. POSSIBLE OCS VIOLATIONS RELATED,24. SPECIFY VIOLATIONS DIRECTLY OR,,MINOR Ralph Vasquez I,,Aera Energy LLC REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/safety/04-may-2003-p00301.pdf,6eac5d04d2c614f9797dfe331690e6958b57c062175dec44d55640b8e46bc503
LA-6709-20041104-0735,EXPLORATION(POE) ~ (DOCD/POD),!!] HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY 0 ~ POLLUTION FIRE EXPLOSION LWC ~ HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION DHISTORIC D >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Production C1 DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTE!R SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Construction,DEVELOPMENT/PRODUCTION EQUIPMENT FAtLURE X HUMAN ERROR EXTERNAL DAMAGE X SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRtLLING FLUID OTHER ~~~~~~~~~~~~~~~~-,290 FT.,"21. PROPERTY DAMAGED' NATURE OF Hardhat was lost during fall into ocean. , $15",YES,"24. SPECIFY VIOLATIONS DIRECTLY OR INDIRECTLY PINC Z-106, enforcement action •c1•, was issued for tie-off requirements.",28. ACCIDENT 05-NOV-2004 MINOR,,,Plains Exploration & REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/04-nov-2004-p00234.pdf,a1670928f29902522c15f64ea4e40b39f5c342708d34086a2fa0811741371706
MI-622-20040121-0314,EXPLORATION(POE) DEVELOPMENT/PRODUCTION (DOCD/POD) D,FIRE D EXPLOSION D BLOWOUT D COLLISION D INJURY NO. 0 D FATALITY NO. 0 D POLLUTION ~ OTHER Crane Boom D,PRODUCTION D DRILLING D WORKOVER COMPLETION ~ D MOTOR VESSEL D PIPELINE SEGMENT NO. D OTHER * * * *,OEQUIPMENT FAILURE !!!HUMAN ERROR D EXTERNAL DAMAGE D SLIP/TRIP/FALL 0WEATHER RELATED D LEAK DUPSET H20 TREATING D OVERBOARD DRILLING FLUID D OTHER ~~~~~~~~~~~~~~~~,89 FT.,NATURE,23. POSSIBLE OCS VIOLATIONS RELATED,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,BP Exploration & Production Inc. REPRESENTATIVE: TELEPHONE:,A,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/gulf-of-mexico/040121-pdf.pdf,68d8fff06b0235311c6651eb7b47ec470ebd697d6c6465e6c5651cb70aa25ae8
HI-20040219-2045,EXPLORATION(POE) (DOCD/POD) El,FIRE D EXPLOSION D BLOWOUT D COLLISION D INJURY NO. 0 D FATALITY NO. 0 D POLLUTION D OTHER,PRODUCTION ~ D DRILLING D WORKOVER D COMPLETION D MOTOR VESSEL D PIPELINE SEGMENT D OTHER * * * * INVESTIGATION REPORT,FAILURE ~EQUIPMENT 0 HUMAN ERROR HOURS ~EXTERNAL DAMAGE Corporation 0 SLIP/TRIP/FALL QWEATHER RELATED 0 LEAK QUPSET H20 TREATING QOVERBOARD DRILLING FLUID 0 OTHER ~~~~~~~~~~~~~~~~,305 FT.,"Insulation burned/melted $1,000",23. POSSIBLE OCS VIOLATIONS RELATED,24. SPECIFY VIOLATIONS DIRECTLY OR n/a,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,ChevronTexaco REPRESENTATIVE: TELEPHONE:,A,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/safety/040219-pdf.pdf,82b790a74aaabc698435d9c36000a08138eeea88dfc22cea59a3cbe943f7394f
EW-826-20040222-1445,EXPLORATION(POE) (DOCD/POD),~FIRE DEXPLOSION D BLOWOUT D COLLISION . D INJURY NO. 0 D FATALITY NO. 0 D POLLUTION D OTHER,PRODUCTION ~ D DRILLING D WORKOVER D COMPLETION D MOTOR VESSEL D PIPELINE SEGMENT D OTHER * * INVESTIGATION REPORT,DEQUIPMENT FAILURE ~ HUMAN ERROR HOURS 0 EXTERNAL DAMAGE 0 SLIP/TRIP/FALL 0WEATHER RELATED 0 LEAK ouPSET H20 TREATING oovERBOARD DRILLING FLUID 0 OTHER ~~~~~~~~~~~~~~~,495 FT.,none N/A,23. POSSIBLE OCS VIOLATIONS RELATED,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,BP Exploration Inc. REPRESENTATIVE: TELEPHONE:,A,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/bsee/040222-pdf.pdf,b0023ded7bb4efb58742ba9ee8a1af34d99dc5851dc8a5dfe4ad1647cac2e6e0
HI-20040223-1400,EXPLORATION(POE) (DOCD/POD) 0,FIRE EXPLOSION ~ 0 BLOWOUT 0 COLLISION 0 INJURY NO. 0 0 FATALITY NO. 0 0 POLLUTION 0 OTHER,PRODUCTION ~ D DRILLING D WORKOVER D COMPLETION D MOTOR VESSEL D PIPELINE SEGMENT D OTHER * * * *,OEQUIPMENT FAILURE D HUMAN ERROR HOURS D EXTERNAL DAMAGE D SLIP/TRIP/FALL 0WEATHER RELATED D LEAK DUPSET H20 TREATING DOVERBOARD DRILLING FLUID ~OTHER Gas Migration,187 FT.,"Switch gear panel doors, light fixtures, Explosion and severe damage to the building walls. (blown outward aprox. 4 all the way 11 around MCC room) Amount of damage approximately $10,000.00 and $15,000.00 to $20,000.00 in upgrades. $10,000",YES,24. SPECIFY VIOLATIONS DIRECTLY OR F-108 Electrical installations not sealed as per API RP 14F:,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Forest Oil Corporation REPRESENTATIVE: TELEPHONE:,A,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/gulf-of-mexico/040223-pdf.pdf,55736e9a18bc257afd82f8f3fc4dc310b698adae88e4379e432c9b1d5a3af612
