Incident Number,Cause number,bsee_source_field
GC-478-20240502-1620,1,18
GC-478-20240502-1620,2,19
GC-478-20240502-1620,3,19
GC-478-20240502-1620,4,19
EI-259-20120304-1330,1,18
EI-259-20120304-1330,2,19
EI-259-20120304-1330,3,19
EI-259-20120304-1330,4,19
EI-259-20120304-1330,5,19
LA-6659-1700,1,18
LA-6659-1700,2,19
LA-6659-1700,3,19
LA-6659-1700,4,19
LA-6659-1700,5,19
LA-6659-1700,6,19
LA-6659-1700,7,19
UNKEYED-d34a71a29a8c,1,18
UNKEYED-d34a71a29a8c,2,18
UNKEYED-d34a71a29a8c,3,19
UNKEYED-d34a71a29a8c,4,19
UNKEYED-d34a71a29a8c,5,19
UNKEYED-d34a71a29a8c,6,19
UNKEYED-d34a71a29a8c,7,19
UNKEYED-d34a71a29a8c,8,19
UNKEYED-d34a71a29a8c,9,19
UNKEYED-d34a71a29a8c,10,19
UNKEYED-d34a71a29a8c,11,19
UNKEYED-d34a71a29a8c,12,19
UNKEYED-d34a71a29a8c,13,19
UNKEYED-d34a71a29a8c,14,19
UNKEYED-d34a71a29a8c,15,19
UNKEYED-d34a71a29a8c,16,19
UNKEYED-d34a71a29a8c,17,19
UNKEYED-d34a71a29a8c,18,19
UNKEYED-d34a71a29a8c,19,19
UNKEYED-d34a71a29a8c,20,19
UNKEYED-d34a71a29a8c,21,19
UNKEYED-d34a71a29a8c,22,19
UNKEYED-d34a71a29a8c,23,19
UNKEYED-d34a71a29a8c,24,19
UNKEYED-d34a71a29a8c,25,19
LB-6488-20030504-0740,1,18
LB-6488-20030504-0740,2,19
LA-6709-20041104-0735,1,18
MI-622-20040121-0314,1,18
MI-622-20040121-0314,2,19
HI-20040219-2045,1,18
HI-20040219-2045,2,19
EW-826-20040222-1445,1,18
HI-20040223-1400,1,18
HI-20040223-1400,2,19
SM-149-20040328-0800,1,18
SM-149-20040328-0800,2,19
ST-260-20040329-0130,1,18
HI-47-20040519-0830,1,18
HI-47-20040519-0830,2,19
WC-237-20041106-0800,1,18
WC-237-20041106-0800,2,18
WC-237-20041106-0800,3,18
WC-237-20041106-0800,4,18
WC-237-20041106-0800,5,18
WC-237-20041106-0800,6,19
EI-327-20041223-1420,1,18
EI-327-20041223-1420,2,19
EI-32-20041227-0250,1,18
EI-32-20041227-0250,2,19
LA-6660-20110526-1130,1,18
LA-6660-20110526-1130,2,19
LB-6437-20110528-0945,1,18
WC-280-20050114-1145,1,18
WC-280-20050114-1145,2,19
SS-92-20050119-0900,1,18
SS-209-20050119-1800,1,18
SS-209-20050119-1800,2,19
WR-508-20050120-2230,1,18
WR-508-20050120-2230,2,19
ST-308-20050210-0430,1,18
ST-308-20050210-0430,2,19
MC-772-20050220-1100,1,18
MC-772-20050220-1100,2,18
MC-772-20050220-1100,3,18
MC-772-20050220-1100,4,19
EI-261-20050225-1043-efe9d45e,1,18
EI-261-20050225-1043-efe9d45e,2,19
MC-807-20050228-2330,1,18
MC-807-20050228-2330,2,19
ST-242-20050308-2015,1,18
ST-242-20050308-2015,2,19
GC-157-20050311-1510,1,18
GC-157-20050311-1510,2,19
MC-822-20050315-1500,1,18
MC-822-20050315-1500,2,19
SP-62-20050317-0400,1,18
SP-62-20050317-0400,2,18
SP-62-20050317-0400,3,19
MC-807-20050318-1115,1,18
MC-807-20050318-1115,2,19
ST-21-20050323-2300,1,18
ST-21-20050323-2300,2,19
MC-429-20050330-1400,1,18
EI-100-20050403-2130,1,18
EI-100-20050403-2130,2,19
ST-77-20050405-1800,1,18
ST-77-20050405-1800,2,19
ST-41-20050411-0355,1,18
ST-41-20050411-0355,2,19
HI-110-20050502-1332,1,18
HI-110-20050502-1332,2,19
SP-67-20050506-0945,1,18
SP-67-20050506-0945,2,19
GC-236-20050516-1200,1,18
GC-236-20050516-1200,2,19
GC-236-20050519-1245,1,18
GC-236-20050519-1245,2,19
SM-99-20050526-1045,1,18
SM-99-20050526-1045,2,19
MU-762-20050529-0830,1,18
MU-762-20050529-0830,2,19
PL-13-20050610-0930,1,18
PL-13-20050610-0930,2,19
MU-757-20050618-1700,1,18
MU-757-20050618-1700,2,18
MU-757-20050618-1700,3,19
EC-272-20050618-2315,1,18
EC-272-20050618-2315,2,18
EC-272-20050618-2315,3,18
EC-272-20050618-2315,4,19
EC-272-20050618-2315,5,19
GC-652-20050623-1915,1,18
GC-652-20050623-1915,2,19
WD-62-20050624-1100,1,18
WD-62-20050624-1100,2,19
HI-20050630-1205,1,18
MC-778-20050708-1525,1,18
MC-778-20050708-1525,2,19
HI-20050720-1800,1,18
HI-20050720-1800,2,19
MU-787-20050721-0001,1,18
MU-787-20050721-0001,2,19
GC-782-20050722-1500,1,18
GC-782-20050722-1500,2,19
GC-782-20050722-1500,3,19
SS-114-20050725-1930,1,18
SS-114-20050725-1930,2,19
SS-349-20050729-0150,1,18
SS-349-20050729-0150,2,19
HI-197-20050731-0820,1,18
HI-197-20050731-0820,2,19
ST-37-20050802-1300,1,18
ST-37-20050802-1300,2,19
GC-821-20050803-0100,1,18
GC-821-20050803-0100,2,19
ST-86-20050813-0730,1,18
ST-86-20050813-0730,2,19
SS-80-20050820-0900,1,18
SS-80-20050820-0900,2,19
GC-237-20050923-0600,1,18
GC-237-20050923-0600,2,19
