Incident Number,incident Title,Incident Classificatioin,Date of Incident,Time of Incident,Date of Report,Site,Area,Unit,Detail,Work Group,Description,Incident Type A,Incident Type B,Incident Type C,Incident Type D,Investigation leader - Name,Investigation leader - Position,Incident Classified by - Name,Incident Classified by - Position,Investigation Acceptor/Approver (Owner) - Name,Investigation Acceptor/Approver (Owner)- Position,Approval Date,Close out Approval - Name,Close out Approval - Position,Close out Date,What happened?  ,What was the outcome?,Incident Classification,What was the worst outcome that could reasonably be expected to have happened?,Health & Safety Incident - Classification,Health & Safety - Risk Score,Health & Safety  - Consequence,Health & Safety - Likelihood,Environment & Reputation - Incident Classification,Environment & Reputation - Risk Score,Environment & Reputation  - Consequence,Environment & Reputation - Likelihood,Financial Cost & Business - Incident Classification,Financial Cost & Business Interruption - Risk Score,Financial Cost & Business Interruption  - Consequence,Financial Cost & Business Interruption - Likelihood,How did the incident occur
src,,xw,src,src,,src,src,,src,,src,xw,xw,xw,,,,,,src,src,,,,,src,,xw,,xw,xw,xw,xw,,,,,,,xw,,
src,,,src,src,,src,src,,,,src,xw,xw,xw,,src,,,,src,src,,,,,src,,,,,,,,,,,,,,,,
src,,,,src,,,src,src,,,src,,,,,src,,,,src,src,,,,,src,,,,,,,,,,,,,,,,
src,,,src,,,,,,src,,src,,,,,src,,,,src,src,,,,,src,,,,,,,,,,,,,,xw,,
src,,,src,src,,src,src,src,src,,src,,,,,src,,,,src,src,,,,,src,,,,,,,,,,,,,,xw,,
src,,,src,src,,src,src,src,src,,src,,,,,src,,,,src,src,,,,,src,,,,,,,,,,,,,,xw,,
src,,,src,src,,src,src,,,,,,,,,src,,,,src,src,,,,,src,,,,,,,,,,,,,,,,
src,,xw,src,src,,src,,,,,,xw,,,xw,src,,,,src,src,,,,,src,,xw,,xw,xw,xw,xw,,,,,,,xw,,
src,,xw,src,src,,src,src,,,,,xw,,,xw,src,,,,src,src,,,,,src,,xw,,xw,xw,xw,xw,,,,,,,,,src
src,,xw,src,src,,src,,,,,,xw,,,xw,src,,,,src,src,,,,,src,,xw,,xw,xw,xw,xw,,,,,,,xw,,
src,,,src,src,,src,src,,,,,xw,xw,,,src,,,,src,src,,,,,src,,,,,,,,,,,,,,,,
src,,xw,src,src,,src,src,,,,,xw,,,xw,src,,,,src,src,,,,,src,,xw,,xw,xw,xw,xw,,,,,,,xw,,
