Incident Number,Recommendation Number,Recommendation Description,Unmittigated Risk - Score,Unmittigated Risk - Consequence,Unmittigated Risk - Likelihood,Mittigated Risk - Score,Mittigated Risk - Consequence,Mittigated Risk - Likelihood,Agreed Completion Date,Responsible Owner - Name,Responsible Owner - Position
GC-478-20240502-1620,1,BSEE Houma District has no recommendations at this time.,,,,,,,,,
EI-259-20120304-1330,1,The BSEE Lafayette District Office makes no recommendations to the BSEE Regional Office of Safety Management (OSM).,,,,,,,,,
UNKEYED-d34a71a29a8c,1,"The riser design can be made safe by reducing any that cause EAC. 1. Course of Action for MMS a) Send instructional memo from RSFO to Districts or all of the three conditions that requires: - For drilling rigs with the original suspect riser design (ABB Vetco HMF Type F), the MMS District Drilling Engineer will confirm that appropriate measures are being or have been taken to mitigate EAC potential. Operators using the suspect riser would be required to satisfy the following conditions prior to approval of the APD: - The operator will supply evidence that all inserts and bolts have been removed and inspected to the minimum criteria as follows: i) Magnetic particle inspection of the inserts by a qualified inspector show no indications of inclusions or cracking in the inside shoulder area. ii) Dimensional checks of threads on bolts and inserts meet manufacturer's tolerances. iii) Average hardness test by a qualified inspector not exceed Rockwell HRC 35 or equivalent. iv) Stress concentration areas relieved by some means to prevent surface crack initiation. v) All TSA removed from insert area on riser flange. - Magnetic particle inspections and dimensional checks to the abovementioned standards should be repeated at least every 6 months. b) MMS should consider sea current data and time on bottom when considering future subsea BOP ""stack hopping"" departures. Risers should be pulled at least every 6 months to reduce any ongoing EAC effects. c) Promote more frequent inspections of all riser systems via an MMS safety alert, reminding the contractors of the importance of inspecting newer riser systems (ABB Vetco HMF Type F, G, and H) more frequently. Presently, most contractors only inspect inserts/bolts on a 5-year basis. See 20. ADDITIONAL INFORMATION for continuation of RECURRENCE NARRATIVE",,,,,,,,,
LB-6488-20030504-0740,1,"Action taken to limit the potential for slippage are to keep the crane engine compartment closed and sealed, warm engine to normal operating temperature prior to engaging a clutch and testing each clutch control mechanism prior to performing a lift. Ensure use of the boom pawl during boom-hoisting activities.",,,,,,,,,
LA-6709-20041104-0735,1,-Adhere to 100% tie-off policy when there is a -Keep scaffolding planks secured until such time.as prevent •live• planks from becoming a hazard. -Provide additional training in safe work prctices.,,,,,,,,,
MI-622-20040121-0314,1,l)Follow the manufacturer's recommended plans for OF DAMAGE: removal and installation 2) Place boom in boom rest or cradle or use emergency holding pin. 3) Removed all load from the motor and gear train. 4) Now turn off main electrical power. No recommendations to MMS,,,,,,,,,
HI-20040219-2045,1,Check for leaks. No recommendations for MMS.,,,,,,,,,
EW-826-20040222-1445,1,"The Regional Office may want to consider a Safety using plastic containers and static electricity, Alert, emphasizing the hazards of near a hydrocarbon source.",,,,,,,,,
HI-20040223-1400,1,"This District recommends that a Safety Alert be distributed to all operators stating the following: Seal all openings and penetrations into the MCC rooms to prevent gas migration. Re-pipe low pressure blowdown discharge from compressor, or install flow safety valve in the low pressure vent line between the blowdown line and the atmospheric water skimmer to prevent gas from discharging at the atmospheric vents on the skimmer. Facilities should have audits or be checked for penetration into buildings, living quarters, and MCC rooms to verify that gas cannot migrate into these areas.",,,,,,,,,
SM-149-20040328-0800,1,"No recommendation by MMS, however, MMS agrees with the procedure outlined in the Rowan safety alert.",,,,,,,,,
ST-260-20040329-0130,1,"Due to the specific nature of this incident, the Houma District has no recommendations to the Regional",,,,,,,,,
HI-47-20040519-0830,1,"The Lake Jackson District has no recommendation for MMS. The following are the recommendations made to the operator by the Lake Jackson District office: A. Require a list of valves on the tree and production equipment to be manually closed prior to any pressure bleed down for any piece of equipment to be removed, repaired or replaced. These valves would be in addition to closing of any automatic valve that might be opened or closed from the control panel. There was no automatic control shut-down valve on the swab valve line to the sand knockout, or the sandknock out itself. There apparently were not any safety control pilots or controls on the swab line or sand knockout. B. Change the location of the choke manifold to the lower deck, or to the edge of the platform so that any escaping gas would naturally be directed away from the living quarters building, generator and/or platform. C. Disconnect the existing flow line from the swab valve to the sand knockout, and install this line to either wing of the tree which would allow another level of pressure control. This would allow the proper use of the swab valve to be used as a swab valve with available bottom hole connection. D. Provide a fire wall or shield (such as an A-60 barrier) between all of the production equipment and the living quarters. Remove and isolate all flammable equiupment and material away from the living quarters.",,,,,,,,,
WC-237-20041106-0800,1,The District recommends a safety alert be issued OF DAMAGE: to include rig personnel communicating clearly with the operator when structural modifications have been done to the production facility. The lessee should review their companies safe practices and procedures for documenting and proper notification process when structural modifications are done and remind all parties of the importance of the Management of Change process. Upon completion of all construction activities the lessee should conduct an evaluation of the site in order to identify any hazards.,,,,,,,,,
EI-327-20041223-1420,1,"A. MMS recommends that El Paso follow their ""Welding and Burning Safe Practice Plan"", as required by 30 CFR 250.109(a), when conducting any welding or spark producing activities, with particular attention paid to 1. and 2., below: 1. Prior to commencing cutting operations, immovable equipment should be protected with flame-proofed covers, shielded with metal or fire-resistant guards or curtains, or have their flammable substances rendered inert, as specified in El Paso's ""Welding and Burning Safe Practice Plan"" and in CFR 250.113(a). 2. Prior to commencing cutting operations, atmospheric tanks containing flammable materials should have their interiors rendered inert, and measures taken to prevent the infiltration of air. B. It is also recommended that the Office of Safety Management issue a Safety Alert advising caution when conducting any welding or spark producing activities near hatch covers.",,,,,,,,,
EI-32-20041227-0250,1,22. RECOMMENDATIONS TO PREVENT RECURRANCE NATURE OF DAMAGE: $ NARRATIVE: MMS recommended that the UNCAL operators initiate a regular mainentance program on all valves. The Lafayette District makes no,,,,,,,,,
LA-6660-20110526-1130,1,Use slings & crane to lift valves into,,,,,,,,,
WC-280-20050114-1145,1,"22. RECOMMENDATIONS TO PREVENT RECURRANCE The District recoxmnends a safety alert NATURE OF DAMAGE: NARRATIVE: be issued to include the PIC clearly communicating and properly documenting specific job duties assigned to each person. Personnel must utilize a stop work authority process especially when the scope of the job changes, then reevaluate the situation appropriately. Personnel must develop and follow site specific procedures when performing simultaneous operations. Proper lockout and tagout procedures must be utilized to properly isolate all energy sources before any pipe, valve, etc. is removed from the production train.",,,,,,,,,
SS-92-20050119-0900,1,"Due to the specific nature of this incident, the OF DAMAGE: Houma District Office has no recommendations to the Regional",,,,,,,,,
SS-209-20050119-1800,1,"Due to the specific nature of this incident, the recommendation to the Regional Office.",,,,,,,,,
WR-508-20050120-2230,1,"Due to the specific nature of this incident, the recommendations to the Regional Office of Safety",,,,,,,,,
ST-308-20050210-0430,1,"Due to the specific nature of this incident, the recommendations to the regional office. OF DAMAGE: scrapes and bulges. Houma district has no",,,,,,,,,
MC-772-20050220-1100,1,"22. RECOMMENDATIONS TO PREVENT RECURRANCE No Reconunendations to MMS The New Orleans District concurs with prevent a recurrence as stated below. 1) Reinforce JSA process by providing NATURE OF DAMAGE: n/a $ NARRATIVE: Dominion and Transocean reconunendations to refresher training for employees on proper hazard analysis, correct preparation of JSA's, and presenting the JSA to rig officials in order to coordinate recommendations or action items. 2) The equipment described above should always be recommended by our Operations Staff, and whenever possible should be used to help ensure that the job is performed safely and efficiently. Otherwise, we will request the deployment of two of our service hands per shift on all similar jobs in the future unless the rig can provide reliable assistance when it is needed. 3) Address the behavioral safety issues that led to the employee not following the correct job procedures regarding changing out hoses. Specifically, on the abandoning safe work practices",,,,,,,,,
MC-807-20050228-2330,1,"DAMAGE: overboard. The New Orleans District recommends to the Office of Safety Management that there is a need for guidance and clarification to the MMS and operators as to the permitted discharge volume of Non aqueous Based Drilling Fluid in the interface stage. As of now the operators are not reporting to the MMS the interface discharge of Non aqueous Drilling Based Fluids, if that volume is less than 20 bbls. The New Orleans District concurs with Shell Offshore Inc.'s recommendations to prevent recurrence as stated below: The unusual circumstances of the event resulted in a much larger volume of contaminated interface at surface than is normally encountered. While the error which led to early termination of the cement displacement is unlikely to be repeated, contingency plans will be put into place to deal with a large volume of cement contaminated Synthetic Based Mud at surface. These procedures are under development, but may include having a pit prepared to contain contaminated fluids, and chemicals on board to prevent the cement from hardening in the pit.",,,,,,,,,
ST-242-20050308-2015,1,"Due to the specific nature of this incident, the recommendations to the Regional Office.",,,,,,,,,
GC-157-20050311-1510,1,Issue a safety alert to highlight that both the Blue and Yellow Pods should be tested on the subsea well head to verify proper function prior to the start of well operations. Also review current regulation to determine if testing of both Pods should be required in the regulations.,,,,,,,,,
MC-822-20050315-1500,1,"No recommendations to MMS. The New Orleans District concurs with BP and Transocean's recommendations to prevent recurrence as stated below: Install new regulator with an output supply pressure range better fit for the service pressure on the hydraulic packer. (a) The existing regulator is a 0-3,000 psi output, and the new regulator is a 0­ 750 psi output. A software modification is being developed and will be installed, which will give an audible alarm when the air or hydraulic packer pressure drops below a given set point. A switch is to be installed on the diverter panel in the subsea shop to identify which packer is energized and is to be monitored by the softwear. A volume of accumulators will be installed downstream of the hydraulic regulator to dampen the hydraulic effects of the system and provide some additional volume in the event of a small leak.",,,,,,,,,
SP-62-20050317-0400,1,"N.O.District has no Recommendations to MMS. Apache did not have any recommendations to prevent recurrance. The New Orleans District concurs with Apache's corrective actions as stated below: Removed and replaced fast line cable. Replaced the two-block valve. Installed a new dead man and fast line ball. Conducted a test run on the two-block system and it is functioning properly. Tested the main line, fast line and boom kick out. All are functioning properly. Performed pull test on the fast line and it functioned properly. Apache has strongly conveyed MMS concerns and dissatisfaction with the poor record keeping on these rental cranes in a meeting with the personnel and management within Fluid Crane on 4-25-2005. Fluid Crane has strongly reiterated the importance of good record keeping to their employees and that Apache and Fluid Crane will not tolerate anything less.",,,,,,,,,
MC-807-20050318-1115,1,"22. RECOMMENDATIONS TO PREVENT RECURRANCE No Recommendations to MMS. The New Orleans District concurs with prevent a recurrence as stated below: Corrective actions taken included a was bench tested on site to 1500 psi, NATURE OF DAMAGE: Synethic Based Mud (SBM) lost overboard. $899 NARRATIVE: Shell Offshore Inc.'s recommendations to valve replacement with a new pop-off valve that the discharge line was re-piped to the trip tank with a larger capacity of 50 barrels, along with the installation of a level alarm set to prevent overflow.",,,,,,,,,
ST-21-20050323-2300,1,"Due to the specific nature of this incident, the report to the Regional Office.",,,,,,,,,
MC-429-20050330-1400,1,No recommendations to MMS,,,,,,,,,
EI-100-20050403-2130,1,The Lafayette district has no recomnendations to make to the Regional office. (a) MMS recommends that TESCO re-evaluate their quality control program concerning the manufacturing of quill shafts. (b) MMS recommends that TESCO examine the possibilities of installing safety bails or any other safety mechanism to prevent the top drive from falling to the rig floor with a failure in the quill shaft. (c) MMS recommends that TESCO re-examine the quality and frequency of their inspections.,,,,,,,,,
ST-77-20050405-1800,1,"Due to the specific nature of this incident, the recommendations to the Regional Office.",,,,,,,,,
HI-110-20050502-1332,1,"Operator should locate and identify all pipelines within 200-500 feet of a proposed rig move. Provide notifications to all pipeline operators identified along with a plan of action. Comply with the provisions set forth in NTL 98-20 or request a variance in advance. Any pipeline less than 100 feet away from any leg and below the mudline must have reflectors placed on the pipeline location used in conjunction with industry accepted survey techniques. Any pipeline less than 100 feet away from any leg, in water depths greater than 200 feet and unburied must be found using industry accepted survey techniques to locate the pipeline and mark the location in lieu of buoying.",,,,,,,,,
SP-67-20050506-0945,1,No recommendations to MMS. The New Orleans District concurs with SPN Resources recommendations to prevent recurrence as stated below: Well A-001 will remain shut-in until a sand solution has been discussed and approved. Well will be checked for sand production by means of shake out flask.,,,,,,,,,
GC-236-20050516-1200,1,"Due to the specific nature of this incident, the recommend to the Regional Office.",,,,,,,,,
GC-236-20050519-1245,1,"Due to the specific nature of this incident, the recommend to the Regional Office.",,,,,,,,,
SM-99-20050526-1045,1,Chevron plans to: Isolate the fuel and chemical sources from potential heat sources; convert the air compressor prime mover to a natural gas prime mover. MMS makes no recommendations.,,,,,,,,,
MU-762-20050529-0830,1,The investigating MMS inspector recommends the MMS Chief Inspector confer with Apache and the MMS Regional Technical Support Group to develop recommendations to prevent recurrence and to send out a safety alert with the recommendations.,,,,,,,,,
PL-13-20050610-0930,1,22. RECOMMENDATIONS TO PREVENT RECURRANCE Due to the nature of this incident we NATURE OF DAMAGE: n/a NARRATIVE: have no recommendations.,,,,,,,,,
MU-757-20050618-1700,1,"22. RECOMMENDATIONS TO PREVENT RECURRANCE The Lake Jackson District recommends NATURE OF DAMAGE: N/A NARRATIVE: that a Safety Alert be sent to inform everyone about the risks involved with Rigging up temporary flare booms for well testing. At the present time MMS has no regulations on temporary Well Testing equipment including temporary flare booms, or requirements for a temporary installation. Some of the risks involved include: testing the stability and the reliability of the flare boom and a reliable automatic flare igniter, to eliminate personnel from going out on the flare boom.",,,,,,,,,
GC-652-20050623-1915,1,"Due to the specific nature of this incident, the recommend to the Regional Office.",,,,,,,,,
WD-62-20050624-1100,1,"22. RECOMMENDATIONS TO PREVENT RECURRANCE NATURE OF DAMAGE: Pressure Regulator blew apart. $150 NARRATIVE: The New Orleans District recommends to The Office of Safety Management that a ""Safety Alert"" be developed to alert industry of the incident and recommends to implement a pro-active maintenance and inventory program that will prevent poorly maintained or unsuitable equipment from being placed into service. The New Orleans District concurs with Stone Energy's and Acadian's corrective action as stated below: Acadian contractors will inspect each regulator. Once the regulator has been inspected a unique serial number will be assigned to each regulator for tracking purposes and to ensure it is a company purchased regulator. The serial numbers will also be used to track the regulator in their preventive maintenance plan. Each regulator shall be inspected prior to being assigned to a work location. Once inspected the regulator will be sealed in a 2 ml thick inspection bag and sealed to prevent possible grease contamination during transport to the job site. The regulator number will be listed on the bag and pre-use inspection list will be included. The details of the incident have been discussed with all employees on 7-20-2005 at the company's bi-monthly safety meeting and instructions were given on the new process for tracking, maintaining, and inspecting regulators. Acadian Contractors will re-address this topic, at their bi-annual supervisor's meeting, and review the progress of the preventive maintenance plan.",,,,,,,,,
HI-20050630-1205,1,"22. RECOMMENDATIONS TO PREVENT RECURRANCE The investigating inspector recommends to regarding hard piping be used instead of glycol pump, with more bracing to control NATURE OF DAMAGE: High heat melted and warped equipment. NARRATIVE: MMS that a safety alert be distributed tubing between the contactor and the vibration.",,,,,,,,,
MC-778-20050708-1525,1,"These recommendations are made to the Minerals Management Service. MMS in conjunction with the USCG should: 1. Conduct inspections of MCT boxes to ensure 2. Conduct inspection/surveys of all bulkhead isolation. proper installation. penetrations to ensure proper 3. Conduct inspections/surveys of all potential downflooding points and weather/water tight barriers. 4. Conduct an engineering and operations HAZOP review/study (similar to the PSS review) of the hydraulic, bilge and ballast systems for proper operation and isolation. This review should include a review of evacuation procedures for isolating all systems and a witnessing of test of the evacuation procedures. 5. Require the remote monitoring/operation of vessel(s) leaving shipyard. 6. Require critical operation and contingency the ballast control system prior to plans for curtailment of operations and storm-readiness capabilities during the installation period of the new/future facilities. (Atlantis, Gomez, Independence Hub, etc.) These tasks should be completed prior to MMS issuing final acceptance of the CVA report and prior to the USCG issuing the Certificate of Inspection (COI).",,,,,,,,,
HI-20050720-1800,1,The Lake Jackson District recommends that a Safety operators of the potential risks involved with not gas is used for instrumentation and control.,,,,,,,,,
MU-787-20050721-0001,1,"The investigating engineer recommends that policy should be implemented regarding inspecting nipples that are under insulation on glycol reboiler units; therefore, not visible. A Safety Alert could be established to alert companies about the need for periodic inspection of glycol systems. An NTL could be issued requiring periodic inspections of glycol systems. The operator will be required to submit a risk assessment based on the guidelines offered in NTL 2001 G-09 to demonstrate the current fire protection is still adequate.",,,,,,,,,
GC-782-20050722-1500,1,"Due to the specific nature of this incident, the report to the Regional Office.",,,,,,,,,
SS-114-20050725-1930,1,MMS recommendation is that a safety alert be issued describing the incident with brief summary of causes and what can be done to prevent recurrence.,,,,,,,,,
SS-349-20050729-0150,1,"Due to the specific nature of this incident, the recommendations to the Regional Office.",,,,,,,,,
HI-197-20050731-0820,1,22. RECOMMENDATIONS TO PREVENT RECURRANCE The Lake Jackson District recommends Drilling Contractors alerting them to NATURE OF DAMAGE: The main damage was contained in the wellhead area of the production platform. $500 NARRATIVE: that a SAFETY ALERT be sent to Operators and the possible failure of their mouse holes and suggest that the mouse hole be inspected periodically for wear and damage.,,,,,,,,,
ST-37-20050802-1300,1,There are no recommendations from MMS.,,,,,,,,,
GC-821-20050803-0100,1,none,,,,,,,,,
ST-86-20050813-0730,1,none,,,,,,,,,
SS-80-20050820-0900,1,Due to the nature of this incident the MMS has no,,,,,,,,,
GC-237-20050923-0600,1,"N T RECURRANCE NARRATIVE: MMS recommends that a study of the mooring system be done for the purposes of: 1. Determining if there are possible ""quick fixes"" for those existing tension-leg­ platform facilities that have this type of mooring 2. Determining if this mooring system is still an floating offshore installations.",,,,,,,,,
SS-258-20051005-1230,1,"Due to the specific nature of this incident, the recommendations to the Regional Office.",,,,,,,,,
PL-12-20051010-1200,1,"DAMAGE: Damage. Due to the nature of this incident, the Houma District has no recommendations to the Regional Office.",,,,,,,,,
ST-99-20051014-1130,1,"Due to the specific nature of this incident, the report to the Regional Office.",,,,,,,,,
SS-149-20051026-0505,1,"22. RECOMMENDATIONS TO PREVENT RECURRANCE NATURE OF DAMAGE: None NARRATIVE: Due to the nature of this incident, the Houma District has no recommendations to the Regional Office.",,,,,,,,,
ST-21-20051030-1500,1,"Due to the specific nature of this incident, the OF DAMAGE: Houma District has no recommendations to report to the Regional Office.",,,,,,,,,
GC-826-20051031-1630,1,"Due to the specific nature of this incident, the OF DAMAGE: Houma District has no recommendations to report to the Regional Office.",,,,,,,,,
ST-308-20051102-2330,1,"Due to the specific nature of this incident, the recommendations to report to the Regional",,,,,,,,,
GC-158-20051108-1600,1,"Due to the specific nature of this incident, the OF DAMAGE: Houma District has no recommendations to report to the Regional Office.",,,,,,,,,
