src_date_occurred,src_military_time,src_lease_number,src_area_block,src_accident_type,src_panel_district,src_status
4/28/2007,20:30,G01034,SS 266,- Explosion ,DISTRICT,Complete
11/3/2007,20:15,G01034,SS 266,- Crane ,DISTRICT,Complete
1/5/2017,2:00,G01034,SS 266,- Required Evacuation - Fire - Incident >$25K ,DISTRICT,Complete
4/15/2008,15:00,G01036,SS 269,- Other Injury - Fire ,DISTRICT,Complete
10/23/2014,11:00,G01039,SS 274,- Required Muster ,DISTRICT,Complete
4/12/2003,9:15,G16395,SS 279,- Blowout - Pollution ,DISTRICT,Complete
10/6/2002,8:00,G02923,SS 291,- Injury ,DISTRICT,Complete
9/7/2012,19:50,G07760,SS 300,- Fire ,DISTRICT,Complete
3/28/2022,8:30,G07760,SS 300,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
10/10/2001,20:25,G04877,SS 322,- Fire ,DISTRICT,Complete
7/29/2005,1:50,G12008,SS 349,- Injury - dropped rig traveling block,DISTRICT,Complete
3/21/2009,20:00,G12008,SS 349,- Extended Kick Control,DISTRICT,Complete
1/16/2010,4:00,G12008,SS 349,Damaged/Disabled Safety Sys. ,DISTRICT,Complete
2/15/2010,6:25,G12008,SS 349,- Fire ,DISTRICT,Complete
8/25/2018,3:45,G12008,SS 349,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
2/22/2004,13:00,G19822,SS 358,- Blowout - Pollution ,DISTRICT,Complete
5/4/2013,20:30,G19822,SS 358,- Fire ,DISTRICT,Complete
6/5/2014,17:00,G19822,SS 358,- Fire - oil controller level,DISTRICT,Complete
2/22/2020,15:30,G19822,SS 358,- Crane ,DISTRICT,Complete
10/30/2001,7:30, 00263,ST 21,- Pollution ,DISTRICT,Complete
1/10/2002,4:30, 00263,ST 21,- Pollution ,DISTRICT,Complete
1/16/2002,23:00, 00263,ST 21,- Well Collapse,DISTRICT,Complete
5/21/2002,8:40, 00263,ST 21,- Fire - Injury ,DISTRICT,Complete
3/23/2005,23:00, 00263,ST 21,- Fire ,DISTRICT,Complete
10/30/2005,15:00, 00263,ST 21,- Fire - Injury ,DISTRICT,Complete
2/22/2006,8:25, 00263,ST 21,- Fire ,DISTRICT,Complete
3/14/2007,2:00, 00263,ST 21,- Other Injury - Gas Bubble to Surface,DISTRICT,Complete
7/8/2024,19:08, 00166,ST 23,- Other Lifting Device ,DISTRICT,Complete
1/29/2024,19:00, 00386,ST 23,- Fire - Incident >$25K ,DISTRICT,Complete
8/22/2013,15:45,G01870,ST 26,- RW/JT (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
5/2/2021,10:11,G01361,ST 26,- Fire - Incident >$25K ,DISTRICT,Complete
6/10/2017,15:15,G01361,ST 26,- LTA (>3 days) - Required Evacuation - Fire - Incident >$25K ,DISTRICT,Complete
3/14/2021,10:50,G01870,ST 26,- Crane ,DISTRICT,Complete
3/25/2026,15:50,G01870,ST 26,- RW/JT (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
9/30/2001,6:00,G01442,ST 27,- Pollution ,DISTRICT,Complete
1/23/2015,4:30,G01443,ST 27,- Collision >$25K - Fire - Incident >$25K - Structural Damage ,DISTRICT,Complete
10/11/2017,:15,G01362,ST 28,- Fire - Required Muster ,DISTRICT,Complete
9/15/2017,11:50,G04842,ST 34,- Incident >$25K - Crane ,DISTRICT,Complete
10/15/2008,14:00,G03336,ST 35,- Crane ,DISTRICT,Complete
8/2/2005,13:00,G02625,ST 37,- Fire ,DISTRICT,Complete
4/11/2005,3:55,G24954,ST 41,- Collision ,DISTRICT,Complete
3/30/2007,9:00,G24954,ST 41,- RW/JT (>3 days) - Required Evacuation - Rough sea conditions,DISTRICT,Complete
10/23/2002,9:45,G01240,ST 51,- Collision ,DISTRICT,Complete
10/10/2006,9:50,G01241,ST 52,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
11/20/2009,9:04,G01241,ST 52,- RW/JT (1-3 days) - Other Injury - Required Evacuation - Fire ,DISTRICT,Complete
10/7/2019,11:10,G01241,ST 52,- LTA (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
3/14/2026,9:36,G01241,ST 52,- Shutdown from Gas Release - Fire - Incident >$25K - Required Muster ,DISTRICT,Complete
7/21/2001,3:25, 00421,ST 55,- Fire ,DISTRICT,Complete
11/29/2001,15:00, 00599,ST 63,- Collision - collapse,DISTRICT,Complete
8/22/2012,1:45, 00599,ST 63,- LTA (>3 days) - Required Evacuation - Gas Pocket Ignition,DISTRICT,Complete
10/23/2012,11:00, 00020,ST 67,- Shear Ram Activation,DISTRICT,Complete
7/13/2008,15:30,G10815,ST 68,- Fire ,DISTRICT,Complete
6/2/2008,4:50,G01244,ST 72,- Fire - Required Muster ,DISTRICT,Complete
4/5/2005,18:00,G04827,ST 77,- Crane Incident,DISTRICT,Complete
6/4/2003,7:00, 00605,ST 86,- Fire ,DISTRICT,Complete
8/13/2005,7:30, 00605,ST 86,- Fire - Injury ,DISTRICT,Complete
10/14/2005,11:30,G10825,ST 99,- Injury ,DISTRICT,Complete
5/28/2009,18:35,G05599,ST 100,- Fire ,DISTRICT,Complete
5/7/2021,17:00,G05599,ST 100,- Incident >$25K - Crane ,DISTRICT,Complete
12/14/2002,12:00,G10828,ST 112,- Collision - Coast Guard Jurisdiction,DISTRICT,Complete
2/12/2013,16:00,G33109,ST 127,- LTA (>3 days) ,DISTRICT,Complete
6/28/2015,9:55,G33109,ST 127,- LTA (>3 days) - Required Evacuation - Helicopter skirting,DISTRICT,Complete
6/7/2015,8:40, 00457,ST 131,- Collision >$25K ,DISTRICT,Complete
12/26/2005,10:30, 00461,ST 134,- Fire - Injury ,DISTRICT,Complete
12/1/2005,16:00, 00462,ST 135,- Blowout - Diverter on 26-inch hole,PANEL,Complete
2/9/2007,8:01, 00462,ST 135,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
8/4/2006,12:00,G01898,ST 148,"- Choke stem,Gas Buster,Piping",DISTRICT,Complete
6/15/2002,:30, 00463,ST 151,- Explosion - Injury ,PANEL,Complete
4/18/2003,12:00, 00463,ST 151,- Fire ,DISTRICT,Complete
3/13/2003,18:49, 00463,ST 151,- Pollution ,DISTRICT,Complete
6/25/2003,7:35, 00463,ST 151,- Pollution ,DISTRICT,Complete
7/12/2012,18:00,G01250,ST 164,- Incident >$25K ,DISTRICT,Complete
2/20/2008,9:15,G21669,ST 168,- Fatality - Crane ,DISTRICT,Complete
12/11/2001,2:30,G22742,ST 174,- Fire ,DISTRICT,Complete
7/12/2012,1:30,G01260,ST 177,- RW/JT (1-3 days) - Required Evacuation - leg fracture,DISTRICT,Complete
11/13/2003,9:00,G12020,ST 179,- Fire ,DISTRICT,Complete
5/9/2003,13:45,G01569,ST 185,- Pollution - Crane Boom Fell,DISTRICT,Complete
4/22/2003,:1,G01899,ST 188,- Blowout - Well Control Event,PANEL,Complete
4/1/2007,16:45,G12024,ST 193,- LTA (>3 days) - Required Evacuation - Laceration from sawzall blade,DISTRICT,Complete
11/26/2015,1:31,G04464,ST 200,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
11/12/2017,18:30,G04464,ST 200,- Incident >$25K - kick occurrence,DISTRICT,Complete
5/18/2007,17:15,G16432,ST 204,- RW/JT (>3 days) - Required Evacuation - Pinned by Wireline Unit,DISTRICT,Complete
11/1/2013,12:15,G05612,ST 205,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
4/24/2003,16:45,G16435,ST 211,- Crane Failure,DISTRICT,Complete
7/23/2013,8:45,G24980,ST 220,- Required Muster ,PANEL,Complete
11/29/2017,20:15,G34340,ST 224,- Pollution - Incident >$25K - Crane ,DISTRICT,Complete
8/4/2002,13:00,G13938,ST 229,- Fire ,DISTRICT,Complete
10/13/2004,12:00,G13938,ST 229,- Fire - Injury ,DISTRICT,Complete
5/9/2025,9:00,G13938,ST 229,- Other Injury - Required Evacuation - Crane ,DISTRICT,Complete
11/30/2005,20:00,G27169,ST 230,- Blowout - Diverter flow after cementing,PANEL,Complete
9/26/2003,11:00,G14544,ST 235,- Fire - Injury ,DISTRICT,Complete
3/8/2005,20:15,G23933,ST 242,- Blowout ,DISTRICT,Complete
2/8/2007,21:45,G05625,ST 245,- Crane ,DISTRICT,Complete
7/12/2009,20:30,G05625,ST 245,- Incident >$25K - Crane - Structural Damage ,DISTRICT,Complete
10/3/2002,8:01,G22756,ST 248,- Hurricane Damage To SS Well #1,DISTRICT,Complete
8/11/2007,18:20,G23936,ST 254,- Pollution - Malfunctioning LSH,DISTRICT,Complete
1/7/2003,9:00,G12037,ST 260,- Collision - Explosion - Fire - Pollution ,DISTRICT,Complete
3/29/2004,1:30,G12037,ST 260,- Collision ,DISTRICT,Complete
12/20/2013,3:00,G32224,ST 285,- Other,DISTRICT,Complete
5/17/2014,8:30,G32224,ST 285,- LTA (>3 days) - RW/JT (1-3 days) - Flash of gas ignited,DISTRICT,Complete
9/7/2002,12:00,G16455,ST 291,- Blowout ,DISTRICT,Complete
4/29/2011,9:00,G16455,ST 291,- LTA (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
6/9/2009,10:01,G05646,ST 295,- Incident >$25K ,DISTRICT,Complete
11/23/2006,19:50,G04240,ST 300,- LTA (>3 days) - Required Evacuation - Explosion ,DISTRICT,Complete
2/13/2009,10:12,G04240,ST 300,- Shutdown from Gas Release - Crane - Required Muster ,DISTRICT,Complete
11/7/2001,10:35,G21685,ST 308,- Pollution ,DISTRICT,Complete
2/10/2005,4:30,G21685,ST 308,- Crane/Helicopter,DISTRICT,Complete
11/2/2005,23:30,G21685,ST 308,- Injury ,DISTRICT,Complete
4/23/2008,8:01,G21685,ST 308,- Well Control,DISTRICT,Complete
1/8/2009,1:30,G21685,ST 308,- Fire ,DISTRICT,Complete
9/4/2018,2:17,G31418,ST 311,- Pollution ,DISTRICT,Complete
1/23/2020,12:00,G31418,ST 311,- Other Injury - Shutdown from Gas Release - Required Evacuation - Fire - Incident >$25K - Required Muster ,DISTRICT,Complete
6/25/2018,17:30,G12027,PL 5,- Required Muster ,DISTRICT,Complete
2/14/2008,17:30,G02925,PL 10,- Shutdown from Gas Release ,PANEL,Complete
9/28/2009,16:45,G02925,PL 10,- Fire ,DISTRICT,Complete
6/3/2012,10:45, 00071,PL 11,- Required Evacuation - Fire - Chemical fire,DISTRICT,Complete
10/10/2005,12:00, 00072,PL 12,- Collision ,DISTRICT,Complete
6/10/2005,9:30,G03171,PL 13,- Pollution - pollution through human error.,DISTRICT,Complete
2/15/2006,14:00,G03171,PL 13,- Crane Incident,DISTRICT,Complete
1/26/2005,13:00,G09652,PL 15,- Fatality ,PANEL,Complete
6/9/2001,20:30,G01238,PL 23,- Fire ,DISTRICT,Complete
7/5/2001,21:00,G01238,PL 23,- Pollution - ruptured flowline,DISTRICT,Complete
4/3/2008,16:30,G01238,PL 23,- Collision >$25K ,DISTRICT,Complete
2/29/2016,19:30,G01238,PL 23,- Fire - Required Muster ,DISTRICT,Complete
8/1/2021,10:10,G01238,PL 23,- Fire ,DISTRICT,Complete
4/8/2019,6:00,G01238,PL 23,- Fire - Incident >$25K ,DISTRICT,Complete
